,TunisAir,court,ouverture,cloture,plus haut,smth 
2018-06-27,,"0,530","0,530","0,530",,
2018-06-28,,"0,530","0,530","0,530",,
2018-06-29,,"0,540","0,540","0,540",,
2018-06-30,,,,,,
2018-07-01,,,,,,
2018-07-02,,,,,,
2018-07-03,,"22,680","23,000","23,000",,
2018-07-04,,"23,000","23,000","23,000",,
2018-07-05,,"0,550","0,550","0,540",,
2018-07-06,,"0,540","0,550","0,550",,
2018-07-07,,,,,,
2018-07-08,,,,,,
2018-07-09,,"0,550","0,550","0,540",,
2018-07-10,,"0,540","0,540","0,550",,
2018-07-11,,"0,540","0,540","0,530",,
2018-07-12,,"0,530","0,550","0,550",,
2018-07-13,,"0,540","0,550","0,550",,
2018-07-14,,,,,,
2018-07-15,,,,,,
2018-07-16,,"0,550","0,550","0,550",,
2018-07-17,,"0,550","0,550","0,540",,
2018-07-18,,"0,540","0,550","0,550",,
2018-07-19,,"0,550","0,550","0,570",,
2018-07-20,,"0,560","0,580","0,580",,
2018-07-21,,,,,,
2018-07-22,,,,,,
2018-07-23,,"0,580","0,580","0,600",,
2018-07-24,,"0,600","0,600","0,590",,
2018-07-25,,,,,,
2018-07-26,,"0,590","0,580","0,590",,
2018-07-27,,"0,590","0,580","0,570",,
2018-07-28,,,,,,
2018-07-29,,,,,,
2018-07-30,,"0,570","0,590","0,580",,
2018-07-31,,"0,580","0,570","0,570",,
2018-08-01,,"0,560","0,560","0,570",,
2018-08-02,,,,,,
2018-08-03,,,,,,
2018-08-04,,,,,,
2018-08-05,,,,,,
2018-08-06,,"0,570","0,560","0,570",,
2018-08-07,,"0,560","0,560","0,550",,
2018-08-08,,"0,550","0,550","0,550",,
2018-08-09,,"0,550","0,540","0,550",,
2018-08-10,,"0,550","0,550","0,550",,
2018-08-11,,,,,,
2018-08-12,,,,,,
2018-08-13,,,,,,
2018-08-14,,"0,550","0,550","0,550",,
2018-08-15,,"0,550","0,550","0,560",,
2018-08-16,,"0,560","0,560","0,560",,
2018-08-17,,"0,560","0,560","0,560",,
2018-08-18,,,,,,
2018-08-19,,,,,,
2018-08-20,,"0,560","0,560","0,560",,
2018-08-21,,,,,,
2018-08-22,,,,,,
2018-08-23,,"0,560","0,560","0,560",,
2018-08-24,,"52,980","52,700","52,700",,
2018-08-25,,,,,,
2018-08-26,,,,,,
2018-08-27,,"0,550","0,550","0,550",,
2018-08-28,,"0,550","0,550","0,550",,
2018-08-29,,"0,550","0,550","0,550",,
2018-08-30,,"0,540","0,550","0,550",,
2018-08-31,,"0,550","0,550","0,550",,
2018-09-01,,,,,,
2018-09-02,,,,,,
2018-09-03,,"0,550","0,540","0,550",,
2018-09-04,,"0,550","0,550","0,550",,
2018-09-05,,,,,,
2018-09-06,,"0,540","0,530","0,540",,
2018-09-07,,"0,540","0,550","0,550",,
2018-09-08,,,,,,
2018-09-09,,,,,,
2018-09-10,,,,,,
2018-09-11,,,,,,
2018-09-12,,"0,560","0,550","0,550",,
2018-09-13,,"0,550","0,550","0,540",,
2018-09-14,,"0,540","0,530","0,540",,
2018-09-15,,,,,,
2018-09-16,,,,,,
2018-09-17,,"0,540","0,540","0,540",,
2018-09-18,,"0,540","0,540","0,540",,
2018-09-19,,"0,540","0,540","0,560",,
2018-09-20,,"0,560","0,550","0,560",,
2018-09-21,,"0,560","0,550","0,550",,
2018-09-22,,,,,,
2018-09-23,,,,,,
2018-09-24,,"0,550","0,560","0,560",,
2018-09-25,,"0,550","0,560","0,560",,
2018-09-26,,"0,560","0,550","0,590",,
2018-09-27,,"0,590","0,610","0,610",,
2018-09-28,,"0,630","0,650","0,650",,
2018-09-29,,,,,,
2018-09-30,,,,,,
2018-10-01,,"0,650","0,640","0,620",,
2018-10-02,,"0,620","0,600","0,620",,
2018-10-03,,"0,620","0,610","0,620",,
2018-10-04,,"0,600","0,630","0,630",,
2018-10-05,,"0,630","0,620","0,620",,
2018-10-06,,,,,,
2018-10-07,,,,,,
2018-10-08,,"0,620","0,600","0,610",,
2018-10-09,,"0,610","0,620","0,630",,
2018-10-10,,"22,900","23,390","23,400",,
2018-10-11,,,,,,
2018-10-12,,"0,650","0,640","0,650",,
2018-10-13,,,,,,
2018-10-14,,,,,,
2018-10-15,,,,,,
2018-10-16,,"0,640","0,640","0,640",,
2018-10-17,,"0,640","0,640","0,640",,
2018-10-18,,"23,890","23,700","23,890",,
2018-10-19,,"0,640","0,640","0,640",,
2018-10-20,,,,,,
2018-10-21,,,,,,
2018-10-22,,"0,640","0,640","0,630",,
2018-10-23,,"0,630","0,630","0,630",,
2018-10-24,,"0,630","0,620","0,610",,
2018-10-25,,"0,610","0,600","0,600",,
2018-10-26,,"0,600","0,600","0,590",,
2018-10-27,,,,,,
2018-10-28,,,,,,
2018-10-29,,"0,590","0,590","0,600",,
2018-10-30,,"0,600","0,590","0,580",,
2018-10-31,,"0,590","0,580","0,600",,
2018-11-01,,"0,600","0,610","0,610",,
2018-11-02,,"0,610","0,610","0,620",,
2018-11-03,,,,,,
2018-11-04,,,,,,
2018-11-05,,"0,600","0,620","0,620",,
2018-11-06,,"0,620","0,620","0,610",,
2018-11-07,,"0,600","0,600","0,610",,
2018-11-08,,"0,600","0,590","0,590",,
2018-11-09,,"0,590","0,600","0,600",,
2018-11-10,,,,,,
2018-11-11,,,,,,
2018-11-12,,"0,600","0,600","0,590",,
2018-11-13,,"0,590","0,590","0,600",,
2018-11-14,,"0,600","0,600","0,610",,
2018-11-15,,"0,610","0,600","0,640",,
2018-11-16,,"0,640","0,650","0,670",,
2018-11-17,,,,,,
2018-11-18,,,,,,
2018-11-19,,"42,190","42,190","42,200",,
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,"42,000","41,990","42,000",,
2018-11-23,,"0,770","0,800","0,800",,
2018-11-24,,,,,,
2018-11-25,,,,,,
2018-11-26,,"41,290","40,480","41,290",,
2018-11-27,,"0,840","0,860","0,890",,
2018-11-28,,"41,000","41,900","41,200",,
2018-11-29,,"0,900","0,890","0,930",,
2018-11-30,,"0,890","0,880","0,870",,
2018-12-01,,,,,,
2018-12-02,,,,,,
2018-12-03,,"0,870","0,840","0,820",,
2018-12-04,,"0,820","0,800","0,820",,
2018-12-05,,"0,840","0,820","0,850",,
2018-12-06,,"0,820","0,820","0,810",,
2018-12-07,,"0,810","0,810","0,790",,
2018-12-08,,,,,,
2018-12-09,,,,,,
2018-12-10,,"0,790","0,800","0,820",,
2018-12-11,,"0,820","0,840","0,830",,
2018-12-12,,"0,830","0,830","0,830",,
2018-12-13,,"0,830","0,830","0,830",,
2018-12-14,,"0,830","0,830","0,820",,
2018-12-15,,,,,,
2018-12-16,,,,,,
2018-12-17,,"23,600","23,500","23,600",,
2018-12-18,,,,,,
2018-12-19,,"0,820","0,810","0,820",,
2018-12-20,,"0,810","0,820","0,810",,
2018-12-21,,"0,810","0,830","0,830",,
