Dirty link,Clean link,Is it Downloadble
/sites/default/files/historiques/cotations/histo_cotation_2018.zip,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2018.zip,True
/sites/default/files/historiques/dividendes/2018.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2018.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2017.zip,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2017.zip,True
/sites/default/files/historiques/cotations/histo_cotation_2017.zip,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2017.zip,True
/sites/default/files/historiques/dividendes/2017.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2017.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2016.zip,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2016.zip,True
/sites/default/files/historiques/cotations/histo_cotation_2016.zip,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2016.zip,True
/sites/default/files/historiques/dividendes/2016.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2016.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2015.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2015.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2015.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2015.rar,True
/sites/default/files/historiques/dividendes/2015.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2015.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2014.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2014.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2014.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2014.rar,True
/sites/default/files/historiques/dividendes/2014.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2014.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2013.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2013.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2013.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2013.rar,True
/sites/default/files/historiques/dividendes/2013.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2013.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2012.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2012.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2012.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2012.rar,True
/sites/default/files/historiques/dividendes/2012.xlsx,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2012.xlsx,True
/sites/default/files/historiques/indices/histo_indice_2011.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2011.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2011.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2011.rar,True
/sites/default/files/historiques/dividendes/2011.xls,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2011.xls,True
/sites/default/files/historiques/indices/histo_indice_2010.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2010.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2010.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2010.rar,True
/sites/default/files/historiques/dividendes/2010.xls,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2010.xls,True
/sites/default/files/historiques/indices/histo_indice_2009.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2009.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2009.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2009.rar,True
/sites/default/files/historiques/dividendes/2009.xls,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2009.xls,True
/sites/default/files/historiques/indices/histo_indice_2008.rar,http://www.bvmt.com.tn/sites/default/files/historiques/indices/histo_indice_2008.rar,True
/sites/default/files/historiques/cotations/histo_cotation_2008.rar,http://www.bvmt.com.tn/sites/default/files/historiques/cotations/histo_cotation_2008.rar,True
/sites/default/files/historiques/dividendes/2008.xls,http://www.bvmt.com.tn/sites/default/files/historiques/dividendes/2008.xls,True
/fr/sitemap,http://www.bvmt.com.tn/fr/sitemap,False
/fr/content/mentions-l%C3%A9gales,http://www.bvmt.com.tn/fr/content/mentions-l%C3%A9gales,False
/fr/contact,http://www.bvmt.com.tn/fr/contact,False
/fr/faq-page,http://www.bvmt.com.tn/fr/faq-page,False
/fr/lexicon/3,http://www.bvmt.com.tn/fr/lexicon/3,False
/fr/content/liens-utiles,http://www.bvmt.com.tn/fr/content/liens-utiles,False
/fr/sondages,http://www.bvmt.com.tn/fr/sondages,False
#,http://www.bvmt.com.tn#,False
