,SOTRAPIL,ref,ouverture,cloture
2018-07-13,,"14,800","15,200","15,200"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"15,200","15,100","15,100"
2018-07-17,,"15,100","15,100","15,100"
2018-07-18,,"15,100","15,100","14,900"
2018-07-19,,"14,900","15,100","15,200"
2018-07-20,,"15,200","15,100","15,550"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"15,550","15,990","16,000"
2018-07-24,,"16,000","16,050","16,480"
2018-07-25,,,,
2018-07-26,,"16,480","16,550","16,400"
2018-07-27,,"16,400","15,950","15,950"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"15,950","16,100","15,480"
2018-07-31,,"15,480","15,020","15,430"
2018-08-01,,"15,430","15,100","15,550"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"16,010","16,010","16,010"
2018-08-07,,"16,010","16,350","16,830"
2018-08-08,,"16,830","16,990","17,490"
2018-08-09,,"17,490","17,700","18,000"
2018-08-10,,"18,000","18,000","18,000"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"18,000","17,990","17,460"
2018-08-15,,"17,460","17,000","17,560"
2018-08-16,,"17,560","17,300","17,070"
2018-08-17,,"17,070","17,000","18,000"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"18,000","18,500","19,000"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"19,000","19,000","18,500"
2018-08-24,,"18,500","18,500","18,600"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"18,600","19,000","19,000"
2018-08-28,,"19,000","19,000","19,000"
2018-08-29,,"19,000","18,700","18,500"
2018-08-30,,"18,500","18,980","18,960"
2018-08-31,,"18,960","18,700","18,970"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"18,970","18,600","18,500"
2018-09-04,,"18,500","18,500","18,400"
2018-09-05,,,,
2018-09-06,,"18,000","18,000","18,000"
2018-09-07,,"18,000","17,460","18,000"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"17,500","17,010","17,000"
2018-09-13,,"17,000","17,000","16,950"
2018-09-14,,"16,950","16,450","16,450"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"16,450","16,940","16,440"
