,BNA,ref,ouverture,cloture
2018-07-12,,"18,720","18,720","18,690"
2018-07-13,,"18,690","18,560","18,500"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"18,500","18,500","18,450"
2018-07-17,,"18,450","18,450","18,900"
2018-07-18,,"18,900","19,000","18,880"
2018-07-19,,"18,880","18,880","18,800"
2018-07-20,,"18,800","18,800","18,700"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"18,700","18,700","18,800"
2018-07-24,,"18,800","18,890","18,850"
2018-07-25,,,,
2018-07-26,,"18,850","18,850","19,000"
2018-07-27,,"19,000","19,060","19,240"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"19,240","19,250","19,700"
2018-07-31,,"19,700","19,780","20,800"
2018-08-01,,"20,800","21,420","21,900"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"21,500","21,400","21,120"
2018-08-07,,"21,120","21,000","21,120"
2018-08-08,,"21,120","21,120","21,220"
2018-08-09,,"21,220","21,220","21,580"
2018-08-10,,"21,580","21,600","21,000"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"21,000","21,000","20,900"
2018-08-15,,"20,900","20,840","20,500"
2018-08-16,,"20,500","20,800","20,400"
2018-08-17,,"20,400","20,500","19,950"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"19,950","19,950","20,000"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"20,000","19,990","19,990"
2018-08-24,,"19,990","19,980","19,990"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"19,990","19,620","19,990"
2018-08-28,,"19,990","19,970","19,880"
2018-08-29,,"19,880","19,880","19,400"
2018-08-30,,"19,400","19,400","19,400"
2018-08-31,,"19,400","19,410","19,800"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"19,800","19,710","19,810"
2018-09-04,,"19,810","19,810","19,610"
2018-09-05,,,,
2018-09-06,,"18,990","18,860","18,900"
2018-09-07,,"18,900","18,890","19,750"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"19,740","19,740","19,600"
2018-09-13,,"19,600","19,200","19,250"
2018-09-14,,"19,250","19,240","19,200"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"19,200","19,000","18,800"
2018-09-18,,"18,800","18,800","18,800"
2018-09-19,,"18,800","18,890","18,850"
2018-09-20,,"18,850","18,840","18,800"
2018-09-21,,"18,800","18,600","18,800"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"18,800","18,750","18,700"
2018-09-25,,"18,700","18,700","18,490"
2018-09-26,,"18,490","18,490","18,380"
2018-09-27,,"18,380","18,340","18,300"
2018-09-28,,"18,300","18,300","18,810"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"18,810","18,870","18,760"
