,BT,ref,ouverture,cloture
2018-07-13,,"8,480","8,480","8,480"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"8,480","8,490","8,480"
2018-07-17,,"8,480","8,480","8,480"
2018-07-18,,"8,480","8,480","8,480"
2018-07-19,,"8,480","8,480","8,480"
2018-07-20,,"8,480","8,480","8,700"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"8,700","8,700","8,700"
2018-07-24,,"8,700","8,700","8,500"
2018-07-25,,,,
2018-07-26,,"8,500","8,500","8,500"
2018-07-27,,"8,500","8,700","8,700"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"8,700","8,700","8,700"
2018-07-31,,"8,700","8,720","8,760"
2018-08-01,,"8,760","8,770","8,700"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"8,560","8,700","8,600"
2018-08-07,,"8,600","8,600","8,600"
2018-08-08,,"8,600","8,700","8,650"
2018-08-09,,"8,650","8,650","8,700"
2018-08-10,,"8,700","8,700","8,650"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"8,650","8,700","8,650"
2018-08-15,,"8,650","8,650","8,650"
2018-08-16,,"8,650","8,650","8,650"
2018-08-17,,"8,650","8,610","8,600"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"8,600","8,600","8,550"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"8,550","8,520","8,500"
2018-08-24,,"8,500","8,500","8,550"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"8,550","8,540","8,520"
2018-08-28,,"8,520","8,520","8,460"
2018-08-29,,"8,460","8,460","8,310"
2018-08-30,,"8,310","8,500","8,400"
2018-08-31,,"8,400","8,400","8,500"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"8,500","8,500","8,500"
2018-09-04,,"8,500","8,490","8,500"
2018-09-05,,,,
2018-09-06,,"8,400","8,400","8,000"
2018-09-07,,"8,000","8,000","8,240"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"8,300","8,300","8,300"
2018-09-13,,"8,300","8,300","8,290"
2018-09-14,,"8,290","8,200","8,210"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"8,210","8,200","8,250"
2018-09-18,,"8,250","8,260","8,200"
2018-09-19,,"8,200","8,200","8,250"
2018-09-20,,"8,250","8,220","8,100"
2018-09-21,,"8,100","8,100","8,100"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"8,100","8,100","8,100"
2018-09-25,,"8,100","8,100","8,100"
2018-09-26,,"8,100","8,100","8,060"
2018-09-27,,"8,060","8,060","8,050"
2018-09-28,,"8,050","8,050","8,040"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"8,040","8,040","8,050"
2018-10-02,,"8,050","8,050","8,040"
2018-10-03,,"8,040","8,030","8,000"
2018-10-04,,"8,000","7,990","8,000"
2018-10-05,,"8,000","7,980","8,000"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"8,000","8,000","8,000"
2018-10-09,,"8,000","8,000","8,000"
2018-10-10,,"8,000","8,000","8,000"
2018-10-11,,,,
2018-10-12,,"8,000","7,900","7,900"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"7,900","7,900","7,900"
2018-10-17,,"7,900","7,900","7,900"
2018-10-18,,"7,900","7,900","7,810"
2018-10-19,,"7,810","7,830","7,900"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"7,900","7,900","7,820"
2018-10-23,,"7,820","7,820","7,820"
2018-10-24,,"7,820","7,800","7,800"
2018-10-25,,"7,800","7,800","7,800"
2018-10-26,,"7,800","7,800","7,800"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"7,800","7,800","7,800"
2018-10-30,,"7,800","7,800","7,800"
2018-10-31,,"7,800","7,800","7,790"
2018-11-01,,"7,790","7,900","7,710"
2018-11-02,,"7,710","7,730","7,800"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"7,800","7,800","7,750"
2018-11-06,,"7,750","7,750","7,750"
2018-11-07,,"7,750","7,750","7,720"
2018-11-08,,"7,720","7,720","7,700"
2018-11-09,,"7,700","7,750","7,740"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"7,740","7,700","7,740"
2018-11-13,,"7,740","7,730","7,750"
2018-11-14,,"7,750","7,730","7,800"
2018-11-15,,"7,800","7,800","7,800"
2018-11-16,,"7,800","7,800","7,800"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"7,800","7,800","7,800"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"7,780","7,780","7,890"
2018-11-23,,"7,890","7,890","7,900"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"7,900","7,800","7,800"
2018-11-27,,"7,800","7,750","7,800"
2018-11-28,,"7,800","7,800","7,780"
2018-11-29,,"7,780","7,770","7,750"
2018-11-30,,"7,750","7,750","7,780"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"7,780","7,780","7,880"
2018-12-04,,"7,880","7,880","8,050"
2018-12-05,,"8,050","8,020","7,850"
2018-12-06,,"7,850","7,850","7,850"
2018-12-07,,"7,850","7,860","8,000"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"8,000","7,900","7,520"
2018-12-11,,"7,520","7,560","7,700"
2018-12-12,,"7,700","7,700","7,860"
2018-12-13,,"7,860","7,760","7,800"
2018-12-14,,"7,800","7,800","7,840"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"7,840","7,800","7,830"
2018-12-18,,,,
2018-12-19,,"7,780","7,750","7,780"
2018-12-20,,"7,780","7,780","7,800"
2018-12-21,,"7,800","7,850","7,860"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"7,860","7,860","7,900"
2018-12-25,,"7,900","7,860","7,880"
2018-12-26,,"7,880","7,880","7,880"
2018-12-27,,"7,880","7,890","7,990"
2018-12-28,,"7,990","7,990","7,990"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"7,990","8,000","7,990"
2019-01-01,,,,
2019-01-02,,"7,990","7,990","7,800"
2019-01-03,,"7,800","7,800","7,800"
2019-01-04,,"7,800","7,800","7,740"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"7,740","7,750","7,760"
2019-01-08,,"7,760","7,780","7,800"
2019-01-09,,,,
2019-01-10,,"7,750","7,750","7,740"
