,ELECTROSTAR,ref,ouverture,cloture
2018-07-13,,"2,300","2,300","2,240"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"2,240","2,300","2,220"
2018-07-17,,"2,220","2,230","2,220"
2018-07-18,,"2,220","2,210","2,220"
2018-07-19,,"2,220","2,210","2,200"
2018-07-20,,"2,200","2,160","2,200"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"2,200","2,150","2,240"
2018-07-24,,"2,240","2,240","2,180"
2018-07-25,,,,
2018-07-26,,"2,180","2,180","2,230"
2018-07-27,,"2,230","2,220","2,230"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"2,230","2,170","2,200"
2018-07-31,,"2,200","2,200","2,260"
2018-08-01,,"2,260","2,200","2,200"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"2,190","2,190","2,130"
2018-08-07,,"2,130","2,130","2,110"
2018-08-08,,"2,110","2,060","2,030"
2018-08-09,,"2,030","1,970","1,940"
2018-08-10,,"1,940","1,900","1,930"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"1,930","1,900","1,880"
2018-08-15,,"1,880","1,880","1,880"
2018-08-16,,"1,880","1,900","1,880"
2018-08-17,,"1,880","1,930","1,980"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"1,980","2,060","2,090"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"2,090","2,180","2,150"
2018-08-24,,"2,150","2,130","2,130"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"2,090","2,090","2,090"
2018-08-28,,"2,090","2,070","2,010"
2018-08-29,,"2,010","1,950","1,890"
2018-08-30,,"1,890","1,890","1,810"
2018-08-31,,"1,810","1,810","1,790"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"1,790","1,800","1,790"
2018-09-04,,"1,790","1,790","1,790"
2018-09-05,,,,
2018-09-06,,"1,710","1,700","1,700"
2018-09-07,,"1,700","1,770","1,800"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"1,900","1,900","1,940"
2018-09-13,,"1,940","1,890","1,880"
2018-09-14,,"1,880","1,930","1,930"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"1,930","1,960","1,930"
2018-09-18,,"1,930","1,950","1,940"
2018-09-19,,"1,940","1,930","1,930"
2018-09-20,,"1,930","1,890","1,900"
2018-09-21,,"1,900","1,920","1,850"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"1,850","1,840","1,820"
2018-09-25,,"1,820","1,740","1,890"
2018-09-26,,"1,890","1,890","1,890"
2018-09-27,,"1,890","1,890","1,890"
2018-09-28,,"1,890","1,890","1,920"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"1,920","1,870","1,840"
2018-10-02,,"1,840","1,870","1,860"
2018-10-03,,"1,860",,
2018-10-04,,"1,780","1,700","1,700"
2018-10-05,,"1,700","1,740","1,740"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"1,740","1,770","1,710"
2018-10-09,,"1,710","1,760","1,750"
2018-10-10,,"1,750","1,740","1,680"
2018-10-11,,,,
2018-10-12,,"1,730","1,690","1,660"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"1,660","1,660","1,740"
2018-10-17,,"1,740","1,710","1,690"
2018-10-18,,"1,690","1,690","1,640"
2018-10-19,,"1,640","1,700","1,630"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"1,630","1,630","1,630"
2018-10-23,,"1,630","1,640","1,610"
2018-10-24,,"1,610","1,630","1,630"
2018-10-25,,"1,630","1,670","1,670"
2018-10-26,,"1,670",,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"1,670","1,640","1,640"
2018-10-30,,"1,640","1,600","1,600"
2018-10-31,,"1,600","1,560","1,560"
2018-11-01,,"1,560","1,490","1,490"
2018-11-02,,"1,490",,
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"1,430","1,440","1,390"
2018-11-06,,"1,390","1,330","1,310"
2018-11-07,,"1,310","1,310","1,260"
2018-11-08,,"1,260","1,260","1,330"
2018-11-09,,"1,330","1,370","1,390"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"1,400","1,460","1,400"
2018-11-13,,"1,460","1,480","1,450"
2018-11-14,,"1,450","1,420","1,530"
2018-11-15,,"1,530","1,570","1,570"
2018-11-16,,"1,570","1,570","1,580"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"1,580","1,640","1,650"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"1,750","1,770","1,820"
2018-11-23,,"1,820","1,900","1,900"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"1,900","1,920","2,000"
2018-11-27,,"2,000","2,020","1,960"
2018-11-28,,"1,960","2,010","1,960"
2018-11-29,,"1,960","1,910","1,910"
2018-11-30,,"1,910","1,860","1,860"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"1,860","1,860","1,810"
2018-12-04,,"1,810","1,760","1,760"
2018-12-05,,"1,760","1,750","1,690"
2018-12-06,,"1,690","1,690","1,640"
2018-12-07,,"1,640","1,620","1,600"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"1,600","1,560","1,540"
2018-12-11,,"1,540","1,600","1,550"
2018-12-12,,"1,550","1,560","1,520"
2018-12-13,,"1,520","1,510","1,470"
2018-12-14,,"1,470","1,460","1,500"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"1,500","1,500","1,460"
2018-12-18,,,,
2018-12-19,,"1,400","1,440","1,400"
2018-12-20,,"1,400","1,380","1,400"
2018-12-21,,"1,400","1,360","1,410"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"1,410","1,410","1,400"
2018-12-25,,"1,400","1,400","1,380"
2018-12-26,,"1,380","1,400","1,390"
2018-12-27,,"1,390","1,400","1,400"
2018-12-28,,"1,400","1,400","1,400"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"1,400","1,360","1,380"
2019-01-01,,,,
2019-01-02,,"1,380","1,350","1,350"
2019-01-03,,"1,350","1,350","1,330"
2019-01-04,,"1,330","1,330","1,380"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"1,380","1,380","1,370"
2019-01-08,,"1,370","1,340","1,360"
2019-01-09,,,,
2019-01-10,,"1,370","1,340","1,340"
2019-01-11,,"1,340","1,340","1,340"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"1,340","1,300","1,300"
2019-01-16,,"1,300","1,280","1,270"
2019-01-17,,"1,270","1,300","1,240"
2019-01-18,,"1,240","1,230","1,310"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"1,310","1,310","1,340"
2019-01-22,,"1,340","1,350","1,300"
2019-01-23,,"1,300","1,300","1,270"
2019-01-24,,"1,270","1,260","1,300"
2019-01-25,,"1,300","1,290","1,270"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"1,270","1,260","1,260"
2019-01-29,,"1,260","1,250","1,290"
2019-01-30,,"1,290",,
2019-01-31,,"1,290","1,260","1,260"
2019-02-01,,"1,260","1,220","1,250"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"1,250","1,250","1,250"
2019-02-05,,"1,250","1,200","1,260"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"1,270",,
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"1,230",,
2019-02-14,,"1,180","1,160","1,190"
2019-02-15,,"1,190","1,230","1,220"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"1,220","1,170","1,170"
2019-02-19,,"1,170","1,150","1,140"
2019-02-20,,"1,140","1,120","1,110"
2019-02-21,,"1,110","1,140","1,150"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"1,160","1,130","1,110"
2019-02-26,,"1,110","1,100","1,050"
2019-02-27,,"1,050","1,020","1,020"
2019-02-28,,"1,020","1,050","1,080"
2019-03-01,,"1,080","1,110","1,140"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"1,140","1,160","1,200"
2019-03-05,,"1,200","1,220","1,250"
2019-03-06,,"1,250","1,250","1,320"
2019-03-07,,"1,320","1,350","1,390"
2019-03-08,,"1,400","1,460","1,460"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"1,460","1,470","1,380"
2019-03-12,,"1,380","1,370","1,350"
2019-03-13,,"1,320",,
2019-03-14,,"1,270","1,240","1,240"
2019-03-15,,"1,240",,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"1,190","1,170","1,190"
2019-03-19,,"1,190","1,170","1,160"
2019-03-20,,,,
2019-03-21,,"1,160","1,120","1,160"
2019-03-22,,"1,160","1,170","1,170"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"1,170","1,120","1,120"
2019-03-26,,"1,120","1,150","1,150"
2019-03-27,,"1,150","1,200","1,200"
2019-03-28,,,,
2019-03-29,,"1,180","1,200","1,200"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"1,200","1,200","1,200"
2019-04-02,,"1,170","1,150","1,170"
2019-04-03,,"1,170","1,170","1,170"
2019-04-04,,"1,170","1,140","1,140"
2019-04-05,,"1,140","1,110","1,110"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"1,110","1,110","1,130"
2019-04-09,,,,
2019-04-10,,"1,130","1,130","1,130"
2019-04-11,,"1,130","1,130","1,130"
2019-04-12,,"1,130","1,100","1,100"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"1,100","1,080","1,100"
2019-04-16,,"1,100","1,070","1,070"
2019-04-17,,"1,070","1,040","1,100"
2019-04-18,,"1,100","1,110","1,110"
2019-04-19,,"1,110","1,110","1,110"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"1,110",,
2019-04-23,,"1,110","1,080","1,080"
2019-04-24,,"1,080","1,050","1,050"
2019-04-25,,"1,050","1,090","1,090"
2019-04-26,,"1,090","1,050","1,050"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"1,050","1,080","1,080"
2019-04-30,,"1,080","1,080","1,090"
2019-05-01,,,,
2019-05-02,,"1,090","1,060","1,060"
2019-05-03,,"1,060",,
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"1,060","1,060","1,050"
2019-05-07,,"1,050",,
2019-05-08,,"1,050","1,060","1,060"
2019-05-09,,"1,060","1,080","1,080"
2019-05-10,,"1,080","1,060","1,080"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"1,080",,
2019-05-14,,"1,080","1,100","1,100"
2019-05-15,,"1,100","1,100","1,100"
2019-05-16,,"1,100",,
2019-05-17,,"1,100",,
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"1,100",,
2019-05-21,,"1,060","1,050","1,050"
2019-05-22,,"1,080","1,100","1,100"
2019-05-23,,"1,100","1,100","1,100"
2019-05-24,,"1,100","1,100","1,100"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"1,100",,
2019-05-28,,"1,100","1,100","1,100"
2019-05-29,,"1,100","1,130","1,130"
2019-05-30,,"1,130",,
2019-05-31,,"1,130",,
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"1,100","1,120","1,070"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"1,070","1,100","1,060"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"1,060","1,090","1,090"
2019-06-11,,,,
2019-06-12,,"1,060",,
2019-06-13,,"1,030","1,040","1,040"
2019-06-14,,"1,060","1,060","1,100"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"1,100",,
2019-06-18,,"1,100","1,090","1,090"
2019-06-19,,"1,090","1,060","1,060"
2019-06-20,,"1,060",,
2019-06-21,,"1,060","1,030","1,050"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"1,050","1,010","1,050"
2019-06-25,,"1,050","1,080","1,050"
2019-06-26,,"1,050","1,020","1,020"
2019-06-27,,"1,020","1,020","1,000"
2019-06-28,,"1,000","1,020","1,020"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"1,020","1,000","1,050"
2019-07-02,,"1,050","1,020","1,020"
2019-07-03,,"1,020","0,990","0,990"
2019-07-04,,"0,990","0,990","0,990"
2019-07-05,,"0,990","0,990","0,990"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"0,990","0,970","0,990"
2019-07-09,,"0,990","0,970","0,970"
2019-07-10,,"0,970","0,970","0,950"
2019-07-11,,"0,950","0,950","0,930"
2019-07-12,,"0,930","0,930","0,890"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"0,890","0,930","0,930"
2019-07-16,,"0,930","0,950","0,930"
2019-07-17,,"0,930","0,900","0,950"
2019-07-18,,"0,950","0,950","0,950"
2019-07-19,,"0,950",,
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"0,950",,
2019-07-23,,"0,950","0,930","0,930"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"0,930","0,910","0,910"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"0,930","0,910","0,930"
2019-07-31,,"0,930","0,910","0,940"
2019-08-01,,"0,940","0,930","0,960"
2019-08-02,,"0,960","0,940","0,940"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"0,940","0,960","0,960"
2019-08-06,,"0,960",,
2019-08-07,,"0,960","0,920","0,920"
2019-08-08,,"0,920","0,910","0,920"
2019-08-09,,"0,920","0,880","0,920"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"0,920","0,920","0,920"
2019-08-15,,"0,920",,
2019-08-16,,"0,920",,
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"0,920","0,900","0,910"
2019-08-20,,"0,910",,
2019-08-21,,"0,910","0,890","0,890"
2019-08-22,,"0,890","0,870","0,910"
2019-08-23,,"0,910",,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"0,910",,
2019-08-27,,"0,910","0,890","0,890"
2019-08-28,,"0,890","0,850","0,850"
2019-08-29,,"0,850","0,880","0,880"
2019-08-30,,"0,880","0,860","0,860"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"0,860","0,840","0,840"
2019-09-03,,"0,840","0,850","0,850"
2019-09-04,,"0,850","0,830","0,870"
2019-09-05,,"0,870",,
2019-09-06,,"0,870",,
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"0,860","0,830","0,830"
2019-09-12,,"0,830","0,830","0,810"
2019-09-13,,"0,810","0,790","0,830"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"0,830","0,850","0,850"
2019-09-17,,"0,850","0,830","0,870"
2019-09-18,,"0,870","0,880","0,920"
2019-09-19,,"0,920","0,960","0,960"
2019-09-20,,"0,960","0,960","1,000"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"1,010","1,050","1,050"
2019-09-24,,"1,050","1,060","1,110"
2019-09-25,,"1,110",,
2019-09-26,,"1,150",,
2019-09-27,,"1,200","1,250","1,250"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"1,270","1,320","1,340"
2019-10-01,,"1,340",,
2019-10-02,,"1,400","1,380","1,420"
2019-10-03,,"1,480",,
2019-10-04,,"1,540",,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"1,600",,
2019-10-08,,"1,670",,
2019-10-09,,"1,740","1,730","1,830"
2019-10-10,,"1,830","1,830","1,780"
2019-10-11,,"1,780","1,730","1,730"
