,ADWYA,ref,ouverture,cloture
2018-07-12,,"5,940","5,900","5,930"
2018-07-13,,"5,930","5,930","5,900"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"5,900","5,900","5,930"
2018-07-17,,"5,930","5,940","5,940"
2018-07-18,,"5,940","5,960","5,950"
2018-07-19,,"5,950","6,000","5,990"
2018-07-20,,"5,990","5,950","5,990"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"5,990","6,000","5,990"
2018-07-24,,"5,990","6,000","6,000"
2018-07-25,,,,
2018-07-26,,"6,000","5,950","6,020"
2018-07-27,,"6,020","6,030","6,000"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"6,000","6,000","6,050"
2018-07-31,,"5,640","5,660","5,800"
2018-08-01,,"5,800","5,720","5,750"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"5,700","5,700","5,700"
2018-08-07,,"5,700","5,700","5,700"
2018-08-08,,"5,700","5,720","5,700"
2018-08-09,,"5,700","5,720","5,750"
2018-08-10,,"5,750","5,700","5,700"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"5,700","5,700","5,700"
2018-08-15,,"5,700","5,750","5,700"
2018-08-16,,"5,700","5,710","5,710"
2018-08-17,,"5,710","5,710","5,710"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"5,710","5,610","5,660"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"5,660","5,750","5,750"
2018-08-24,,"5,750","5,740","5,740"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"5,740","5,730","5,740"
2018-08-28,,"5,740","5,740","5,740"
2018-08-29,,"5,740","5,760","5,790"
2018-08-30,,"5,790","5,850","5,810"
2018-08-31,,"5,810","5,800","5,800"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"5,800","5,800","5,780"
2018-09-04,,"5,780","5,700","5,600"
2018-09-05,,,,
2018-09-06,,"5,450","5,450","5,400"
2018-09-07,,"5,400","5,400","5,500"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"5,450","5,440","5,400"
2018-09-13,,"5,400","5,440","5,300"
2018-09-14,,"5,300","5,440","5,390"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"5,390","5,390","5,300"
2018-09-18,,"5,300","5,420","5,420"
2018-09-19,,"5,420","5,390","5,310"
2018-09-20,,"5,310","5,320","5,300"
2018-09-21,,"5,300","5,290","5,150"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"5,150","5,150","5,200"
2018-09-25,,"5,200","5,140","5,190"
2018-09-26,,"5,190","5,130","5,190"
2018-09-27,,"5,190","5,190","5,130"
2018-09-28,,"5,130","5,130","5,130"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"5,130","5,120","5,000"
2018-10-02,,"5,000","5,050","5,000"
2018-10-03,,"5,000","4,950","4,850"
2018-10-04,,"4,850","4,800","4,790"
2018-10-05,,"4,790","4,720","4,770"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"4,770","4,710","4,700"
2018-10-09,,"4,700","4,650","4,830"
2018-10-10,,"4,830","4,800","4,800"
2018-10-11,,,,
2018-10-12,,"4,700","4,700","4,700"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"4,700","4,650","4,650"
2018-10-17,,"4,650","4,590","4,580"
2018-10-18,,"4,580","4,580","4,500"
2018-10-19,,"4,500","4,500","4,630"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"4,630",,
2018-10-23,,"4,630","4,620","4,630"
2018-10-24,,"4,630","4,600","4,600"
2018-10-25,,"4,600","4,600","4,600"
2018-10-26,,"4,600","4,600","4,600"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"4,600","4,650","4,600"
2018-10-30,,"4,600","4,600","4,600"
2018-10-31,,"4,600","4,600","4,690"
2018-11-01,,"4,690","4,700","4,670"
2018-11-02,,"4,670","4,600","4,670"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"4,670","4,550","4,670"
2018-11-06,,"4,670","4,670","4,660"
2018-11-07,,"4,660","4,620","4,620"
2018-11-08,,"4,620","4,620","4,620"
2018-11-09,,"4,620","4,700","4,690"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"4,690","4,600","4,690"
2018-11-13,,"4,690","4,620","4,620"
2018-11-14,,"4,620","4,700","4,700"
2018-11-15,,"4,700","4,700","4,700"
2018-11-16,,"4,700","4,610","4,680"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"4,680","4,650","4,600"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"4,610","4,610","4,670"
2018-11-23,,"4,670","4,670","4,700"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"4,700","4,750","4,750"
2018-11-27,,"4,750","4,740","4,660"
2018-11-28,,"4,660","4,660","4,610"
2018-11-29,,"4,610","4,610","4,600"
2018-11-30,,"4,600","4,630","4,600"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"4,600","4,640","4,640"
2018-12-04,,"4,640","4,620","4,610"
2018-12-05,,"4,610","4,630","4,610"
2018-12-06,,"4,610","4,740","4,610"
2018-12-07,,"4,610","4,650","4,650"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"4,650","4,740","4,600"
2018-12-11,,"4,600","4,600","4,610"
2018-12-12,,"4,610","4,650","4,650"
2018-12-13,,"4,650","4,730","4,600"
2018-12-14,,"4,600","4,600","4,600"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"4,600","4,720","4,620"
2018-12-18,,,,
2018-12-19,,"4,650","4,650","4,600"
2018-12-20,,"4,600","4,650","4,600"
2018-12-21,,"4,600","4,720","4,600"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"4,600","4,650","4,650"
2018-12-25,,"4,650","4,650","4,650"
2018-12-26,,"4,650","4,640","4,650"
2018-12-27,,"4,650","4,650","4,660"
2018-12-28,,"4,660","4,720","4,720"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"4,720","4,720","4,700"
2019-01-01,,,,
2019-01-02,,"4,700","4,800","4,800"
2019-01-03,,"4,800","4,770","4,630"
2019-01-04,,"4,630","4,740","4,740"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"4,740","4,740","4,740"
2019-01-08,,"4,740","4,740","4,740"
2019-01-09,,,,
2019-01-10,,"4,600","4,700","4,700"
2019-01-11,,"4,700","4,700","4,610"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"4,610","4,600","4,650"
2019-01-16,,"4,650","4,650","4,650"
2019-01-17,,"4,650","4,700","4,700"
2019-01-18,,"4,700","4,690","4,710"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"4,710","4,600","4,700"
