,ATB,ref,ouverture,cloture
2018-04-27,,"4,140","4,250","4,250"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"4,250","4,320","4,250"
2018-05-01,,,,
2018-05-02,,"4,250","4,130","4,240"
2018-05-03,,"4,010","4,100","4,000"
2018-05-04,,"4,000","4,000","4,090"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"4,090","4,140","4,090"
2018-05-08,,"4,090","4,090","4,090"
2018-05-09,,"4,090","4,090","4,190"
2018-05-10,,"4,190","4,050","4,150"
2018-05-11,,"4,150","4,090","4,150"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"4,150","4,150","4,150"
2018-05-15,,"4,150","4,150","4,180"
2018-05-16,,"4,180","4,180","4,200"
2018-05-17,,"4,200","4,150","4,150"
2018-05-18,,"4,150","4,150","4,150"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"4,150","4,100","4,150"
2018-05-22,,"4,150","4,100","4,230"
2018-05-23,,"4,230","4,120","4,130"
2018-05-24,,"4,130","4,120","4,120"
2018-05-25,,"4,120","4,120","4,150"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"4,150","4,160","4,170"
2018-05-29,,"4,170","4,180","4,180"
2018-05-30,,"4,180",,
2018-05-31,,"4,180","4,150","4,200"
2018-06-01,,"4,200","4,200","4,180"
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"4,180","4,180","4,210"
2018-06-05,,"4,210","4,200","4,200"
2018-06-06,,"4,200","4,180","4,190"
2018-06-07,,,,
2018-06-08,,"4,170","4,170","4,180"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"4,180","4,170","4,170"
2018-06-12,,"4,170","4,160","4,160"
2018-06-13,,"4,160","4,160","4,160"
2018-06-14,,"4,160","4,160","4,150"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"4,150","4,150","4,140"
2018-06-19,,"4,140","4,140","4,150"
2018-06-20,,"4,150","4,100","4,150"
2018-06-21,,"4,150","4,150","4,120"
2018-06-22,,"4,120","4,150","4,150"
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"4,150","4,180","4,160"
2018-06-26,,"4,160","4,180","4,200"
2018-06-27,,"4,200","4,200","4,200"
2018-06-28,,"4,200","4,200","4,180"
2018-06-29,,"4,180","4,180","4,150"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"4,150","4,200","4,160"
2018-07-04,,"4,160","4,150","4,130"
2018-07-05,,"4,130","4,150","4,150"
2018-07-06,,"4,150","4,130","4,200"
2018-07-07,,,,
2018-07-08,,,,
