,tijari,ref,ouverture,cloture
2018-07-12,,"49,820","49,800","49,480"
2018-07-13,,"49,480","49,450","49,500"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"49,500","49,500","49,900"
2018-07-17,,"49,900","50,000","49,400"
2018-07-18,,"49,400","49,400","50,750"
2018-07-19,,"50,750","50,750","50,200"
2018-07-20,,"50,200","50,200","50,850"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"50,850","50,850","50,340"
2018-07-24,,"50,340","50,600","50,600"
2018-07-25,,,,
2018-07-26,,"50,600","50,600","50,490"
2018-07-27,,"50,490","50,600","50,550"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"50,550","50,500","51,000"
2018-07-31,,"51,000","51,000","52,500"
2018-08-01,,"52,500","52,990","53,000"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"54,000","54,750","54,510"
2018-08-07,,"54,510","54,990","54,990"
2018-08-08,,"54,990","54,990","54,650"
2018-08-09,,"54,650","54,600","54,110"
2018-08-10,,"54,110","54,500","53,010"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"53,010","53,050","53,500"
2018-08-15,,"53,500","53,500","53,000"
2018-08-16,,"53,000","53,500","53,000"
2018-08-17,,"53,000","53,000","52,010"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"52,010","52,500","52,980"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"52,980","52,980","52,980"
2018-08-24,,"52,980","52,700","52,700"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"52,700","52,440","52,280"
2018-08-28,,"52,280","52,210","54,000"
2018-08-29,,"54,000","54,100","54,500"
2018-08-30,,"54,500","53,000","53,100"
2018-08-31,,"53,100","53,100","53,300"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"53,300","53,290","52,040"
2018-09-04,,"52,040","52,000","51,500"
2018-09-05,,,,
2018-09-06,,"50,450","49,500","47,390"
2018-09-07,,"47,390","47,300","50,100"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"51,000","51,980","49,900"
2018-09-13,,"49,900","49,000","49,880"
2018-09-14,,"49,880","49,500","49,350"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"49,350","49,500","49,400"
2018-09-18,,"49,400","49,400","49,900"
2018-09-19,,"49,900","49,890","49,150"
2018-09-20,,"49,150","49,150","48,950"
2018-09-21,,"48,950","48,810","48,800"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"48,800","48,500","48,800"
2018-09-25,,"48,800","48,800","49,200"
2018-09-26,,"49,200","49,800","49,100"
2018-09-27,,"49,100","49,100","48,800"
2018-09-28,,"48,800","48,500","48,790"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"48,790","48,790","48,400"
2018-10-02,,"48,400","48,450","47,920"
2018-10-03,,"47,920","47,700","46,270"
2018-10-04,,"46,270","46,270","44,910"
2018-10-05,,"44,910","44,530","45,860"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"45,860","45,780","45,800"
2018-10-09,,"45,800","45,500","44,500"
2018-10-10,,"44,500","44,510","45,490"
2018-10-11,,,,
2018-10-12,,"44,510","45,000","44,000"
