,ARTES,ref,ouverture,cloture
2018-07-12,,"6,570","6,570","6,600"
2018-07-13,,"6,600","6,600","6,540"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"6,540","6,540","6,540"
2018-07-17,,"6,540","6,540","6,590"
2018-07-18,,"6,590","6,590","6,590"
2018-07-19,,"6,590","6,700","6,700"
2018-07-20,,"6,700","6,700","6,620"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"6,620","6,560","6,610"
2018-07-24,,"6,610","6,610","6,610"
2018-07-25,,,,
2018-07-26,,"6,610","6,600","6,600"
2018-07-27,,"6,600","6,600","6,550"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"6,550","6,550","6,550"
2018-07-31,,"6,550","6,550","6,680"
2018-08-01,,"6,680","6,600","6,560"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"6,600","6,610","6,610"
2018-08-07,,"6,610","6,600","6,610"
2018-08-08,,"6,610","6,600","6,600"
2018-08-09,,"6,600","6,560","6,560"
2018-08-10,,"6,560","6,560","6,600"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"6,600","6,590","6,580"
2018-08-15,,"6,580","6,600","6,650"
2018-08-16,,"6,650","6,600","6,650"
2018-08-17,,"6,650","6,650","6,620"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"6,620","6,620","6,620"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"6,620","6,600","6,600"
2018-08-24,,"6,600","6,570","6,600"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"6,600","6,600","6,600"
2018-08-28,,"6,600","6,600","6,600"
2018-08-29,,"6,600","6,600","6,600"
2018-08-30,,"6,600","6,600","6,650"
2018-08-31,,"6,650","6,610","6,700"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"6,700","6,730","6,560"
2018-09-04,,"6,560","6,560","6,550"
2018-09-05,,,,
2018-09-06,,"6,500","6,480","6,500"
2018-09-07,,"6,500","6,410","6,490"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"6,340","6,350","6,360"
2018-09-13,,"6,360","6,340","6,400"
2018-09-14,,"6,400","6,400","6,400"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"6,400","6,300","6,300"
2018-09-18,,"6,300","6,350","6,300"
2018-09-19,,"6,300","6,300","6,310"
2018-09-20,,"6,310","6,310","6,260"
2018-09-21,,"6,260","6,280","6,340"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"6,340","6,240","6,260"
2018-09-25,,"6,260","6,260","6,340"
2018-09-26,,"6,340","6,330","6,330"
2018-09-27,,"6,330","6,330","6,330"
2018-09-28,,"6,330","6,300","6,300"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"6,300","6,300","6,300"
2018-10-02,,"6,300","6,300","6,300"
2018-10-03,,"6,300","6,300","6,300"
2018-10-04,,"6,300","6,300","6,340"
2018-10-05,,"6,340","6,340","6,300"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"6,300","6,290","6,340"
2018-10-09,,"6,340","6,340","6,300"
2018-10-10,,"6,300","6,300","6,340"
2018-10-11,,,,
2018-10-12,,"6,330","6,320","6,320"
