,TELNET,ref,ouverture,cloture
2018-07-12,,"11,020","11,020","11,000"
2018-07-13,,"11,000","11,000","11,170"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"11,170","11,200","11,170"
2018-07-17,,"11,170","11,200","11,160"
2018-07-18,,"11,160","11,100","11,190"
2018-07-19,,"11,190","11,200","11,530"
2018-07-20,,"11,030","11,360","11,340"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"11,340","11,350","11,450"
2018-07-24,,"11,450","11,360","11,340"
2018-07-25,,,,
2018-07-26,,"11,340","11,340","11,290"
2018-07-27,,"11,290","11,270","11,270"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"11,270","11,280","11,460"
2018-07-31,,"11,460","11,450","11,380"
2018-08-01,,"11,380","11,320","11,350"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"11,420","11,300","11,330"
2018-08-07,,"11,330","11,360","11,350"
2018-08-08,,"11,350","11,360","11,320"
2018-08-09,,"11,320","11,250","11,020"
2018-08-10,,"11,020","11,000","11,100"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"11,100","11,000","11,090"
2018-08-15,,"11,090","11,080","10,980"
2018-08-16,,"10,980","10,940","10,850"
2018-08-17,,"10,850","10,850","10,700"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"10,700","10,530","10,780"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"10,780","10,840","11,130"
2018-08-24,,"11,130","10,930","11,100"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"11,100","11,080","11,070"
2018-08-28,,"11,070","11,000","11,070"
2018-08-29,,"11,070","11,060","11,000"
2018-08-30,,"11,000","11,000","10,870"
2018-08-31,,"10,870","10,970","11,000"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"11,000","10,860","11,000"
2018-09-04,,"11,000","10,910","10,900"
2018-09-05,,,,
2018-09-06,,"10,890","10,610","10,530"
2018-09-07,,"10,530","10,200","10,490"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"10,310","10,250","10,250"
2018-09-13,,"10,250","10,070","10,000"
2018-09-14,,"10,000","9,850","9,920"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"9,920","9,630","9,520"
2018-09-18,,"9,520","9,600","9,730"
2018-09-19,,"9,730","9,780","9,700"
2018-09-20,,"9,700","9,780","9,600"
2018-09-21,,"9,600","9,550","9,270"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"9,270","9,270","9,340"
2018-09-25,,"9,340","9,270","9,270"
2018-09-26,,"9,270","9,270","9,240"
2018-09-27,,"9,240","9,240","9,120"
2018-09-28,,"9,120","9,000","8,920"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"8,920","8,850","8,780"
2018-10-02,,"8,780","8,590","8,450"
2018-10-03,,"8,450","8,430","8,790"
2018-10-04,,"8,790","8,880","8,780"
2018-10-05,,"8,780","9,030","8,780"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"8,780","9,000","8,900"
2018-10-09,,"8,900","8,890","8,800"
2018-10-10,,"8,800","8,750","8,700"
2018-10-11,,,,
2018-10-12,,"8,520","8,520","8,400"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"8,400","8,600","8,350"
2018-10-17,,"8,350","8,230","8,200"
2018-10-18,,"8,200","8,100","8,300"
2018-10-19,,"8,300","8,290","8,390"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"8,390","8,440","8,480"
2018-10-23,,"8,480","8,530","8,700"
2018-10-24,,"8,700","8,700","8,600"
2018-10-25,,"8,600","8,570","8,490"
2018-10-26,,"8,490","8,500","8,700"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"8,700","8,700","8,950"
2018-10-30,,"8,960","8,960","8,720"
