,City Cars,ref,ouverture,cloture
2018-07-15,,,,
2018-07-16,,"11,450",,
2018-07-17,,"11,450","11,500","11,450"
2018-07-18,,"11,450","11,450","11,450"
2018-07-19,,"11,450","11,600","11,600"
2018-07-20,,"11,600","11,500","11,500"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"11,500","11,500","11,500"
2018-07-24,,"11,500","11,500","11,300"
2018-07-25,,,,
2018-07-26,,"11,300","11,300","11,500"
2018-07-27,,"11,500",,
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"11,500","11,300","11,300"
2018-07-31,,"11,300","11,470","11,470"
2018-08-01,,"11,470","11,400","11,400"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"11,600","11,420","11,450"
2018-08-07,,"11,450",,
2018-08-08,,"11,450","11,430","11,600"
2018-08-09,,"11,600","11,500","11,500"
2018-08-10,,"11,500",,
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"11,500","11,500","11,500"
2018-08-15,,"11,500","11,500","11,500"
2018-08-16,,"11,500","11,500","11,510"
2018-08-17,,"11,510","11,520","11,520"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"11,520","11,700","11,700"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"11,700","11,860","11,860"
2018-08-24,,"11,860",,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"11,860","11,860","11,860"
2018-08-28,,"11,860","11,860","11,860"
2018-08-29,,"11,860",,
2018-08-30,,"11,860",,
2018-08-31,,"11,860","11,800","11,800"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"11,800","11,800","11,800"
2018-09-04,,"11,800","11,600","11,600"
2018-09-05,,,,
2018-09-06,,"11,400",,
2018-09-07,,"11,400","11,400","11,400"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"11,060","10,750","10,750"
2018-09-13,,"10,750",,
2018-09-14,,"10,750","10,750","10,750"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"10,750","10,750","10,750"
2018-09-18,,"10,750",,
2018-09-19,,"10,750","10,750","10,800"
2018-09-20,,"10,800",,
2018-09-21,,"10,800","11,000","11,010"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"11,010",,
2018-09-25,,"11,010","11,060","11,060"
2018-09-26,,"11,060","11,080","11,090"
2018-09-27,,"11,090",,
2018-09-28,,"11,090","11,370","11,370"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"11,370","11,200","11,200"
2018-10-02,,"11,200","11,100","11,090"
2018-10-03,,"11,090","11,000","11,000"
2018-10-04,,"11,000","11,010","11,000"
2018-10-05,,"11,000",,
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"11,000",,
2018-10-09,,"11,000","11,000","11,000"
2018-10-10,,"11,000","11,000","11,000"
2018-10-11,,,,
2018-10-12,,"11,000",,
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"11,000",,
2018-10-17,,"11,000","11,330","11,330"
2018-10-18,,"11,330","11,000","11,000"
2018-10-19,,"11,000","11,000","11,100"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"11,100",,
2018-10-23,,"11,100",,
2018-10-24,,"11,100",,
2018-10-25,,"11,100","11,100","11,000"
2018-10-26,,"11,000",,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"11,000","10,800","10,800"
2018-10-30,,"10,800","11,000","11,000"
2018-10-31,,"11,000",,
2018-11-01,,"11,000",,
2018-11-02,,"11,000",,
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"11,000",,
2018-11-06,,"11,000","10,980","11,000"
2018-11-07,,"11,000","11,000","11,000"
2018-11-08,,"11,000",,
2018-11-09,,"11,000",,
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"11,000",,
2018-11-13,,"11,000","11,000","11,000"
2018-11-14,,"11,000","11,000","11,100"
2018-11-15,,"11,100","11,000","11,100"
2018-11-16,,"11,100","11,050","11,100"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"11,100","11,100","11,100"
