,HANNIBAL LEASE,ref,ouverture,cloture
2018-07-24,,"8,500","8,440","8,500"
2018-07-25,,,,
2018-07-26,,"8,500",,
2018-07-27,,"8,500","8,490","8,500"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"8,500",,
2018-07-31,,"8,500","8,500","8,500"
2018-08-01,,"8,500","8,500","8,500"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"8,690","8,500","8,500"
2018-08-07,,"8,500","8,500","8,500"
2018-08-08,,"8,500","8,490","8,490"
2018-08-09,,"8,490",,
2018-08-10,,"8,490","8,490","8,490"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"8,490","8,490","8,490"
2018-08-15,,"8,490",,
2018-08-16,,"8,490",,
2018-08-17,,"8,490",,
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"8,490",,
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"8,490",,
2018-08-24,,"8,490",,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"8,490",,
2018-08-28,,"8,490",,
2018-08-29,,"8,490",,
2018-08-30,,"8,490","8,110","8,490"
2018-08-31,,"8,490",,
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"8,490",,
2018-09-04,,"8,490","8,110","8,400"
2018-09-05,,,,
2018-09-06,,"8,400",,
2018-09-07,,"8,400","8,200","8,200"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"8,150","8,100","8,200"
2018-09-13,,"8,200","8,100","8,100"
2018-09-14,,"8,100",,
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"8,100","8,000","8,100"
2018-09-18,,"8,100",,
2018-09-19,,"8,100",,
2018-09-20,,"8,100",,
2018-09-21,,"8,100",,
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"8,100",,
2018-09-25,,"8,100",,
2018-09-26,,"8,100",,
2018-09-27,,"8,100",,
2018-09-28,,"8,100",,
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"8,100",,
2018-10-02,,"8,100",,
2018-10-03,,"8,100",,
2018-10-04,,"8,100",,
2018-10-05,,"8,100",,
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"8,100","8,000","8,100"
2018-10-09,,"8,100",,
2018-10-10,,"8,100",,
2018-10-11,,,,
2018-10-12,,"8,100",,
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"8,100",,
2018-10-17,,"8,100",,
2018-10-18,,"8,100",,
2018-10-19,,"8,100","7,860","7,860"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"7,860",,
2018-10-23,,"7,860",,
2018-10-24,,"7,860",,
2018-10-25,,"7,860",,
2018-10-26,,"7,860",,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"7,860","7,850","7,850"
2018-10-30,,"7,850",,
2018-10-31,,"7,850",,
2018-11-01,,"7,850",,
2018-11-02,,"7,850",,
