,GIF,ref,ouverture,cloture
2018-07-13,,"1,360","1,370","1,350"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"1,350","1,340","1,340"
2018-07-17,,"1,340","1,370","1,340"
2018-07-18,,"1,340","1,370","1,360"
2018-07-19,,"1,360","1,320","1,320"
2018-07-20,,"1,320","1,330","1,340"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"1,340","1,350","1,330"
2018-07-24,,"1,330","1,340","1,320"
2018-07-25,,,,
2018-07-26,,"1,320","1,320","1,310"
2018-07-27,,"1,310","1,300","1,330"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"1,330","1,330","1,310"
2018-07-31,,"1,310","1,300","1,330"
2018-08-01,,"1,330","1,330","1,380"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"1,310","1,340","1,330"
2018-08-07,,"1,330","1,360","1,330"
2018-08-08,,"1,330","1,310","1,340"
2018-08-09,,"1,340","1,300","1,330"
2018-08-10,,"1,330","1,320","1,330"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"1,330","1,300","1,330"
2018-08-15,,"1,330","1,330","1,300"
2018-08-16,,"1,300","1,290","1,310"
2018-08-17,,"1,310","1,290","1,290"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"1,290","1,310","1,280"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"1,280","1,280","1,280"
2018-08-24,,"1,280","1,300","1,280"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"1,280","1,280","1,290"
2018-08-28,,"1,290","1,260","1,290"
2018-08-29,,"1,290","1,290","1,270"
2018-08-30,,"1,270","1,270","1,270"
2018-08-31,,"1,270","1,270","1,250"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"1,250","1,260","1,250"
2018-09-04,,"1,250","1,220","1,250"
2018-09-05,,,,
2018-09-06,,"1,220","1,240","1,210"
2018-09-07,,"1,210","1,230","1,230"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"1,250","1,250","1,220"
2018-09-13,,"1,220","1,190","1,220"
2018-09-14,,"1,220","1,190","1,220"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"1,220","1,250","1,220"
2018-09-18,,"1,220","1,250","1,220"
2018-09-19,,"1,220","1,200","1,210"
2018-09-20,,"1,210","1,190","1,170"
2018-09-21,,"1,170","1,200","1,190"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"1,190","1,220","1,220"
2018-09-25,,"1,220","1,170","1,190"
