,STAR,ref,ouverture,cloture
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"118,000","118,000","118,000"
2018-05-01,,,,
2018-05-02,,"118,000","118,000","120,000"
2018-05-03,,"120,000","120,990","119,000"
2018-05-04,,"119,000","120,480","120,480"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"120,480","120,420","119,480"
2018-05-08,,"119,480","119,160","118,000"
2018-05-09,,"118,000","116,000","115,000"
2018-05-10,,"115,000","115,980","115,990"
2018-05-11,,"115,990","116,000","116,990"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"116,990",,
2018-05-15,,"116,990","116,000","116,970"
2018-05-16,,"116,970","116,890","116,890"
2018-05-17,,"116,890","113,520","116,890"
2018-05-18,,"116,890","116,990","116,990"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"116,990","117,000","117,970"
2018-05-22,,"117,970","117,000","117,970"
2018-05-23,,"117,970","117,000","118,000"
2018-05-24,,"118,000","117,000","118,000"
2018-05-25,,"118,000","115,000","116,000"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"116,000",,
2018-05-29,,"116,000","116,000","117,000"
2018-05-30,,"115,780","117,000","117,900"
2018-05-31,,"117,900","116,900","114,400"
2018-06-01,,"114,400","114,370","116,900"
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"116,900","114,500","114,500"
2018-06-05,,"114,500","114,500","114,500"
2018-06-06,,"114,500","114,500","114,500"
2018-06-07,,,,
2018-06-08,,"113,500","113,510","114,500"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"114,500","114,400","114,500"
2018-06-12,,"114,500","113,600","113,500"
2018-06-13,,"113,500","114,000","114,000"
2018-06-14,,"114,000","114,000","117,000"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"117,000","117,000","124,000"
2018-06-19,,"124,000","125,990","126,960"
2018-06-20,,"126,960","126,940","126,500"
2018-06-21,,"126,500","122,710","126,390"
2018-06-22,,"126,390","122,710","125,900"
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"125,900","122,150","126,380"
2018-06-26,,"126,380","125,900","126,480"
2018-06-27,,"126,480","126,480","127,000"
2018-06-28,,"127,000","127,020","132,730"
2018-06-29,,"132,730","134,500","140,700"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"148,200","148,190","150,000"
2018-07-04,,"150,000","148,000","150,000"
2018-07-05,,"150,000","149,000","148,000"
2018-07-06,,"148,000","147,000","147,750"
2018-07-07,,,,
2018-07-08,,,,
2018-07-09,,"147,750","147,740","147,900"
2018-07-10,,"147,900","147,500","147,500"
2018-07-11,,"147,500","143,080","143,080"
2018-07-12,,"143,080","143,080","140,000"
2018-07-13,,"140,000","140,000","144,200"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"144,200","145,790","147,400"
2018-07-17,,"147,400","150,000","154,000"
2018-07-18,,"154,000","155,000","154,000"
2018-07-19,,"154,000","154,990","153,000"
2018-07-20,,"153,000","151,200","149,900"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"149,900","147,000","147,000"
