,biat,ref,ouverture,cloture
2018-07-12,,"163,050","164,950","161,100"
2018-07-13,,"161,100","161,200","162,000"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"162,000","162,000","162,000"
2018-07-17,,"162,000","162,000","162,000"
2018-07-18,,"162,000","162,900","164,400"
2018-07-19,,"164,400","164,400","165,000"
2018-07-20,,"165,000","165,000","165,000"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"165,000","165,010","166,000"
2018-07-24,,"166,000","167,000","167,000"
2018-07-25,,,,
2018-07-26,,"167,000","168,000","173,000"
2018-07-27,,"173,000","178,000","177,000"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"177,000","177,000","177,000"
2018-07-31,,"177,000","177,000","176,000"
2018-08-01,,"176,000","176,000","175,400"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"176,500","176,500","176,500"
2018-08-07,,"176,500","178,000","176,500"
2018-08-08,,"176,500","176,500","175,500"
2018-08-09,,"175,500","175,500","176,000"
2018-08-10,,"176,000","175,000","173,000"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"173,000","175,890","176,000"
2018-08-15,,"176,000","176,000","175,900"
2018-08-16,,"175,900","174,500","175,900"
2018-08-17,,"175,900","174,610","175,800"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"175,800","175,000","175,000"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"175,000","175,020","175,000"
2018-08-24,,"175,000","174,520","175,000"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"175,000","175,010","174,500"
2018-08-28,,"174,500","174,100","176,000"
2018-08-29,,"176,000","175,800","175,000"
2018-08-30,,"175,000","175,000","174,500"
2018-08-31,,"174,500","174,500","174,000"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"174,000","172,000","169,500"
2018-09-04,,"169,500","169,060","164,990"
2018-09-05,,,,
2018-09-06,,"159,080","154,310","149,690"
2018-09-07,,"149,690","149,710","158,800"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"158,660","158,550","157,000"
2018-09-13,,"157,000","156,900","153,000"
2018-09-14,,"153,000","152,850","152,000"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"152,000","152,000","151,900"
2018-09-18,,"151,900","150,550","154,900"
2018-09-19,,"154,900","155,590","154,500"
2018-09-20,,"154,500","154,500","153,000"
2018-09-21,,"153,000","153,010","150,510"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"150,510","150,520","153,400"
2018-09-25,,"153,400","152,000","152,990"
2018-09-26,,"152,990","152,990","152,000"
2018-09-27,,"152,000","152,000","150,510"
2018-09-28,,"150,510","152,990","151,000"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"151,000","151,000","153,000"
2018-10-02,,"153,000","153,800","150,500"
2018-10-03,,"150,500","150,000","148,500"
2018-10-04,,"148,500","148,010","145,000"
2018-10-05,,"145,000","144,990","144,900"
2018-10-06,,,,
2018-10-07,,,,
