,UDAH,ref,ouverture,cloture
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"1,650","1,690","1,680"
2018-07-17,,"1,680","1,660","1,720"
2018-07-18,,"1,720","1,700","1,750"
2018-07-19,,"1,750","1,790","1,740"
2018-07-20,,"1,740","1,770","1,770"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"1,720","1,720","1,690"
2018-07-24,,"1,670","1,720","1,680"
2018-07-25,,,,
2018-07-26,,"1,680","1,670","1,650"
2018-07-27,,"1,650","1,660","1,650"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"1,650","1,700","1,700"
2018-07-31,,"1,700","1,700","1,650"
2018-08-01,,"1,650","1,690","1,750"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"1,820","1,850","1,820"
2018-08-07,,"1,820","1,780","1,770"
2018-08-08,,"1,770","1,720","1,720"
2018-08-09,,"1,720","1,670","1,670"
2018-08-10,,"1,670","1,710","1,660"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"1,660","1,650","1,690"
2018-08-15,,"1,690","1,720","1,720"
2018-08-16,,"1,720","1,720","1,710"
2018-08-17,,"1,710","1,660","1,710"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"1,710","1,670","1,710"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"1,710","1,710","1,710"
2018-08-24,,"1,710","1,680","1,710"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"1,710","1,720","1,720"
2018-08-28,,"1,720","1,670","1,690"
2018-08-29,,"1,670","1,660","1,690"
2018-08-30,,"1,690","1,690","1,690"
2018-08-31,,"1,690","1,700","1,700"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"1,700","1,660","1,650"
2018-09-04,,"1,650","1,690","1,660"
2018-09-05,,,,
2018-09-06,,"1,660","1,630","1,650"
2018-09-07,,"1,650","1,680","1,680"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"1,660","1,620","1,620"
2018-09-13,,"1,620","1,620","1,600"
2018-09-14,,"1,600","1,530","1,640"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"1,640","1,600","1,610"
2018-09-18,,"1,610","1,610","1,570"
2018-09-19,,"1,570","1,610","1,590"
2018-09-20,,"1,590","1,550","1,550"
2018-09-21,,"1,550","1,530","1,570"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"1,570","1,520","1,570"
2018-09-25,,"1,570","1,530","1,530"
2018-09-26,,"1,530","1,560","1,530"
2018-09-27,,"1,530","1,560","1,550"
2018-09-28,,"1,550","1,550","1,540"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"1,540","1,530","1,530"
2018-10-02,,"1,530","1,530","1,500"
2018-10-03,,"1,500","1,540","1,480"
2018-10-04,,"1,480","1,470","1,460"
2018-10-05,,"1,460","1,420","1,450"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"1,450","1,470","1,470"
2018-10-09,,"1,470","1,430","1,430"
2018-10-10,,"1,430","1,370","1,420"
2018-10-11,,,,
2018-10-12,,"1,420","1,380","1,380"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"1,380","1,380","1,420"
2018-10-17,,"1,420","1,420","1,460"
2018-10-18,,"1,460","1,490","1,530"
2018-10-19,,"1,540",,
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"1,600","1,600","1,620"
2018-10-23,,"1,620","1,620","1,550"
2018-10-24,,"1,550","1,550","1,540"
2018-10-25,,"1,510","1,530","1,540"
2018-10-26,,"1,540","1,540","1,600"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"1,600","1,570","1,600"
2018-10-30,,"1,600","1,630","1,650"
2018-10-31,,"1,650","1,620","1,680"
2018-11-01,,"1,680","1,690","1,760"
2018-11-02,,"1,760","1,800","1,860"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"1,860","1,860","1,930"
2018-11-06,,"1,930","1,860","1,850"
2018-11-07,,"1,850","1,830","1,930"
2018-11-08,,"1,930","1,900","1,860"
2018-11-09,,"1,850","1,800","1,800"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"1,800","1,800","1,820"
2018-11-13,,"1,820","1,820","1,860"
2018-11-14,,"1,860","1,860","1,840"
2018-11-15,,"1,840","1,870","1,910"
2018-11-16,,"1,910","1,910","1,880"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"1,880","1,910","1,860"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"1,860","1,830","1,830"
2018-11-23,,"1,830",,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"1,910",,
2018-11-27,,"1,990","2,000","2,110"
2018-11-28,,"2,110","2,200","2,230"
2018-11-29,,"2,230",,
2018-11-30,,"2,330","2,420","2,270"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"2,270","2,180","2,240"
2018-12-04,,"2,240","2,240","2,180"
2018-12-05,,"2,180","2,120","2,200"
2018-12-06,,"2,200","2,200","2,200"
2018-12-07,,"2,200","2,200","2,210"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"2,140","2,110","2,120"
2018-12-11,,"2,120","2,120","2,100"
2018-12-12,,"2,100","2,120","2,070"
2018-12-13,,"2,060","2,110","2,110"
2018-12-14,,"2,110","2,130","2,120"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"2,120","2,110","2,170"
2018-12-18,,,,
2018-12-19,,"2,110","2,090","2,100"
2018-12-20,,"2,100","2,020","2,100"
2018-12-21,,"2,100","2,100","2,100"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"2,100","2,100","2,100"
2018-12-25,,"2,100","2,040","2,100"
2018-12-26,,"2,100","2,010","2,050"
2018-12-27,,"2,050","2,050","2,020"
2018-12-28,,"1,870","1,910","1,880"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"1,880","1,870","1,870"
2019-01-01,,,,
2019-01-02,,"1,870","1,900","1,850"
2019-01-03,,"1,850","1,800","1,870"
2019-01-04,,"1,870","1,880","1,890"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"1,890","1,890","1,890"
2019-01-08,,"1,890","1,880","1,890"
2019-01-09,,,,
2019-01-10,,"1,880","1,840","1,870"
2019-01-11,,"1,870","1,870","1,870"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"1,870","1,820","1,770"
2019-01-16,,"1,770","1,770","1,810"
2019-01-17,,"1,810","1,770","1,790"
2019-01-18,,"1,790","1,790","1,770"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"1,770","1,730","1,720"
2019-01-22,,"1,720","1,650","1,700"
2019-01-23,,"1,700","1,650","1,650"
2019-01-24,,"1,650","1,720","1,690"
2019-01-25,,"1,690","1,720","1,720"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"1,720","1,740","1,720"
2019-01-29,,"1,720",,
2019-01-30,,"1,650","1,620","1,600"
2019-01-31,,"1,600","1,640","1,630"
2019-02-01,,"1,630","1,650","1,650"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"1,650","1,620","1,600"
2019-02-05,,"1,600","1,600","1,630"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"1,640","1,650","1,650"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"1,630",,
2019-02-14,,"1,630","1,560","1,550"
2019-02-15,,"1,550","1,590","1,550"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"1,550","1,590","1,570"
2019-02-19,,"1,570","1,540","1,550"
2019-02-20,,"1,550","1,510","1,540"
2019-02-21,,"1,540","1,480","1,530"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"1,490","1,490","1,500"
2019-02-26,,"1,500","1,520","1,520"
2019-02-27,,"1,520",,
2019-02-28,,"1,480","1,420","1,510"
2019-03-01,,"1,510","1,510","1,500"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"1,500","1,500","1,500"
