,SIMPAR,ref,ouverture,cloture
2018-07-27,,"35,680",,
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"35,680",,
2018-07-31,,"35,680",,
2018-08-01,,"35,680",,
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"35,680","34,610","34,610"
2018-08-07,,"34,610","33,580","33,580"
2018-08-08,,"33,580",,
2018-08-09,,"32,580",,
2018-08-10,,"31,610","30,700","32,550"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"32,550",,
2018-08-15,,"32,550","33,000","33,000"
2018-08-16,,"33,000",,
2018-08-17,,"32,010",,
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"31,050","31,050","31,980"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"31,980","32,890","32,890"
2018-08-24,,"32,890","32,890","32,890"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"32,890","32,000","32,000"
2018-08-28,,"32,000","32,000","32,900"
2018-08-29,,"32,900","33,880","33,880"
2018-08-30,,"33,880",,
2018-08-31,,"32,870","33,850","31,890"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"31,890","30,940","32,830"
2018-09-04,,"32,830","32,830","32,830"
2018-09-05,,,,
2018-09-06,,"32,830",,
2018-09-07,,"32,830",,
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"32,830",,
2018-09-13,,"32,830",,
2018-09-14,,"31,850","32,740","32,730"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"32,730","31,750","31,750"
2018-09-18,,"31,750","30,800","30,800"
2018-09-19,,"30,800","30,800","30,000"
2018-09-20,,"30,000",,
2018-09-21,,"30,000","30,900","30,000"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"30,000","30,000","30,000"
2018-09-25,,"30,000","29,100","30,000"
2018-09-26,,"29,100","28,230","28,230"
2018-09-27,,"29,070","29,090","29,090"
2018-09-28,,"29,090","28,800","29,070"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"29,070",,
2018-10-02,,"29,070","28,200","28,200"
2018-10-03,,"28,200","27,360","27,360"
2018-10-04,,"27,360",,
2018-10-05,,"27,360","26,540","27,460"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"27,460","27,460","27,460"
2018-10-09,,"27,460",,
2018-10-10,,"27,460","26,660","26,640"
2018-10-11,,,,
2018-10-12,,"26,640","26,640","26,640"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"26,640","26,640","26,640"
2018-10-17,,"26,640","25,870","26,630"
2018-10-18,,"26,630","26,640","26,640"
2018-10-19,,"26,640","26,990","26,990"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"26,990",,
2018-10-23,,"26,990",,
2018-10-24,,"26,990","26,190","26,190"
2018-10-25,,"26,190",,
2018-10-26,,"26,190","26,190","26,190"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"26,970","26,190","26,190"
2018-10-30,,"26,190","26,190","26,190"
2018-10-31,,"26,190","26,190","26,300"
2018-11-01,,"26,970","26,310","26,500"
2018-11-02,,"26,500","26,500","27,250"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"27,250","27,990","27,160"
2018-11-06,,"27,160","27,000","27,000"
2018-11-07,,"27,970","27,140","27,140"
2018-11-08,,"27,140","27,350","27,350"
2018-11-09,,"27,350",,
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"27,350",,
2018-11-13,,"27,350","27,000","27,000"
2018-11-14,,"27,000","27,000","27,000"
2018-11-15,,"27,000","27,810","27,810"
2018-11-16,,"27,810","27,100","27,100"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"27,100","27,100","27,100"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"27,100","27,200","27,200"
2018-11-23,,"27,200","27,200","27,200"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"27,200","27,200","27,200"
2018-11-27,,"27,200","27,250","27,200"
2018-11-28,,"27,200",,
2018-11-29,,"27,200","27,230","27,220"
2018-11-30,,"27,220","28,030","28,030"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"28,030","27,520","27,530"
2018-12-04,,"27,530","28,300","27,800"
2018-12-05,,"27,800","28,500","28,000"
2018-12-06,,"28,000","28,300","28,830"
2018-12-07,,"28,830","28,840","28,840"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"28,840","29,000","29,700"
2018-12-11,,"29,700","30,300","30,400"
2018-12-12,,"30,400","30,400","32,220"
2018-12-13,,"32,220","33,180","34,000"
2018-12-14,,"34,000","32,900","32,470"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"32,470","32,470","34,000"
2018-12-18,,,,
2018-12-19,,"34,000","33,000","33,000"
2018-12-20,,"33,000","33,000","33,000"
2018-12-21,,"33,000","33,000","32,500"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"32,500","32,400","32,500"
2018-12-25,,"32,500",,
2018-12-26,,"32,500","32,500","33,300"
2018-12-27,,"33,300","32,500","32,500"
2018-12-28,,"32,500",,
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"32,500","32,450","33,470"
2019-01-01,,,,
2019-01-02,,"31,040","31,040","31,040"
2019-01-03,,"31,040",,
2019-01-04,,"31,040",,
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"31,040","31,000","31,000"
2019-01-08,,"31,000",,
2019-01-09,,,,
2019-01-10,,"30,080","30,020","30,600"
2019-01-11,,"30,600",,
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"30,600",,
2019-01-16,,"30,600",,
2019-01-17,,"30,600",,
2019-01-18,,"30,600","30,600","30,000"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"30,000",,
2019-01-22,,"30,900",,
2019-01-23,,"31,820",,
2019-01-24,,"31,820",,
2019-01-25,,"31,820",,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"31,820","30,390","32,000"
2019-01-29,,"32,000","32,000","32,000"
2019-01-30,,"32,000","32,000","32,000"
2019-01-31,,"32,000",,
2019-02-01,,"32,000",,
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"32,000",,
2019-02-05,,"32,000",,
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"32,000","32,000","32,000"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"32,000","32,000","32,000"
2019-02-14,,"32,000","32,000","32,000"
2019-02-15,,"32,000","32,000","32,000"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"32,000","32,000","32,000"
2019-02-19,,"32,000",,
2019-02-20,,"32,000","32,000","32,000"
2019-02-21,,"32,000","32,000","32,000"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"32,000","32,000","32,000"
2019-02-26,,"32,000",,
2019-02-27,,"32,000","31,040","32,000"
2019-02-28,,"32,000","32,000","32,000"
2019-03-01,,"32,000",,
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"32,000","32,000","31,040"
2019-03-05,,"31,040","30,110","30,120"
2019-03-06,,"30,120","29,220","29,230"
2019-03-07,,"29,230",,
2019-03-08,,"29,230",,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"30,100",,
2019-03-12,,"30,100",,
2019-03-13,,"30,100",,
2019-03-14,,"30,100",,
2019-03-15,,"30,100",,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"30,100",,
2019-03-19,,"30,100",,
2019-03-20,,,,
2019-03-21,,"30,100",,
2019-03-22,,"30,100",,
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"30,100",,
2019-03-26,,"30,100",,
2019-03-27,,"30,100",,
2019-03-28,,,,
2019-03-29,,"31,930",,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"32,880",,
2019-04-02,,"33,860",,
2019-04-03,,"33,860","32,860","33,500"
2019-04-04,,"33,500","34,800","34,800"
2019-04-05,,"34,800",,
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"34,800",,
2019-04-09,,,,
2019-04-10,,"34,800",,
2019-04-11,,"34,800",,
2019-04-12,,"34,800",,
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"34,800",,
2019-04-16,,"34,800",,
2019-04-17,,"34,800",,
2019-04-18,,"34,800",,
2019-04-19,,"34,800",,
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"34,800",,
2019-04-23,,"34,800",,
2019-04-24,,"33,240","32,690","32,700"
2019-04-25,,"32,700","32,700","32,700"
2019-04-26,,"32,700","32,710","32,700"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"32,700","31,730","31,730"
2019-04-30,,"31,730","31,730","31,730"
2019-05-01,,,,
2019-05-02,,"31,730",,
2019-05-03,,"31,730",,
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"31,730","31,810","32,490"
2019-05-07,,"32,490","31,810","31,810"
2019-05-08,,"31,810","31,810","31,810"
2019-05-09,,"31,810","31,910","31,910"
2019-05-10,,"31,910",,
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"32,860",,
2019-05-14,,"32,860",,
2019-05-15,,"32,860",,
2019-05-16,,"32,860",,
2019-05-17,,"32,860",,
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"32,860",,
2019-05-21,,"32,860",,
2019-05-22,,"33,840",,
2019-05-23,,"33,840",,
2019-05-24,,"33,840",,
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"33,840",,
2019-05-28,,"33,840",,
2019-05-29,,"33,840",,
2019-05-30,,"33,840",,
2019-05-31,,"33,840",,
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"33,840",,
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"33,840",,
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"33,840",,
2019-06-11,,,,
2019-06-12,,"33,840",,
2019-06-13,,"33,840","33,000","32,320"
2019-06-14,,"32,320",,
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"32,320",,
