,TIL,ref,ouverture,cloture
2018-07-15,,,,
2018-07-16,,"18,200","18,200","18,200"
2018-07-17,,"18,200","18,200","18,200"
2018-07-18,,"18,200","18,020","18,070"
2018-07-19,,"18,070",,
2018-07-20,,"18,070",,
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"18,070","18,080","18,060"
2018-07-24,,"18,060",,
2018-07-25,,,,
2018-07-26,,"18,060","18,100","18,170"
2018-07-27,,"18,170","18,100","18,200"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"18,200",,
2018-07-31,,"18,200","18,160","18,200"
2018-08-01,,"18,200",,
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"18,480","18,210","18,210"
2018-08-07,,"18,210","18,480","18,400"
2018-08-08,,"18,400","18,300","18,400"
2018-08-09,,"18,400","18,400","18,220"
2018-08-10,,"18,220","18,490","18,210"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"18,210","18,180","18,180"
2018-08-15,,"18,180","18,180","18,200"
2018-08-16,,"18,200","18,480","18,200"
2018-08-17,,"18,200","18,200","18,200"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"18,200","18,480","18,160"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"18,160","17,940","17,930"
2018-08-24,,"17,930",,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"17,930",,
2018-08-28,,"17,930","17,900","17,900"
2018-08-29,,"17,900","17,710","17,710"
2018-08-30,,"17,710",,
2018-08-31,,"17,710",,
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"17,710","17,800","17,800"
2018-09-04,,"17,800","17,800","17,800"
2018-09-05,,,,
2018-09-06,,"17,800","17,900","17,900"
2018-09-07,,"17,900",,
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"17,900",,
2018-09-13,,"17,900","17,900","17,900"
2018-09-14,,"17,900","17,900","17,900"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"17,900","17,800","17,800"
2018-09-18,,"17,800",,
2018-09-19,,"17,800",,
2018-09-20,,"17,800",,
2018-09-21,,"17,800","18,000","18,000"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"18,000",,
2018-09-25,,"18,000","17,650","18,200"
2018-09-26,,"18,200",,
2018-09-27,,"18,200",,
2018-09-28,,"18,200",,
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"18,200",,
2018-10-02,,"18,200",,
2018-10-03,,"18,200",,
2018-10-04,,"18,200","18,160","18,170"
2018-10-05,,"18,170","18,170","18,170"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"18,170","17,660","18,170"
2018-10-09,,"18,170","18,170","18,170"
2018-10-10,,"18,170","17,630","17,630"
2018-10-11,,,,
2018-10-12,,"17,630",,
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"17,630",,
2018-10-17,,"17,630",,
2018-10-18,,"17,630",,
2018-10-19,,"17,630","17,200","17,130"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"17,130",,
2018-10-23,,"17,130",,
2018-10-24,,"17,130","17,120","17,120"
2018-10-25,,"17,120",,
2018-10-26,,"17,120","17,630","17,630"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"17,630","17,500","17,500"
2018-10-30,,"17,500","17,490","17,490"
2018-10-31,,"17,490","17,000","17,000"
2018-11-01,,"17,000",,
2018-11-02,,"17,000",,
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"17,000","17,490","17,490"
2018-11-06,,"17,490","17,490","17,500"
2018-11-07,,"17,500",,
2018-11-08,,"17,500",,
2018-11-09,,"17,500","16,980","17,440"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"17,440",,
2018-11-13,,"17,440",,
2018-11-14,,"17,440","17,490","17,490"
2018-11-15,,"17,490",,
2018-11-16,,"17,490","17,000","17,000"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"17,000","17,450","17,450"
2018-11-20,,,,
