,ATL,ref,ouverture,cloture
2018-07-13,,"3,130","3,130","3,150"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"3,150","3,150","3,200"
2018-07-17,,"3,200","3,180","3,160"
2018-07-18,,"3,160","3,150","3,180"
2018-07-19,,"3,180","3,190","3,190"
2018-07-20,,"3,190","3,210","3,210"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"3,210",,
2018-07-24,,"3,210","3,210","3,210"
2018-07-25,,,,
2018-07-26,,"3,210","3,210","3,210"
2018-07-27,,"3,210","3,220","3,210"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"3,210","3,220","3,230"
2018-07-31,,"3,230","3,230","3,200"
2018-08-01,,"3,200","3,200","3,230"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"3,200","3,200","3,190"
2018-08-07,,"3,190","3,200","3,190"
2018-08-08,,"3,190","3,200","3,200"
2018-08-09,,"3,200","3,200","3,190"
2018-08-10,,"3,190","3,200","3,200"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"3,200","3,200","3,190"
2018-08-15,,"3,190","3,200","3,200"
2018-08-16,,"3,200","3,200","3,200"
2018-08-17,,"3,200","3,200","3,200"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"3,200","3,180","3,180"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"3,180","3,160","3,100"
2018-08-24,,"3,100","3,070","3,160"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"3,160",,
2018-08-28,,"3,160","3,070","3,160"
2018-08-29,,"3,160","3,180","3,150"
2018-08-30,,"3,150","3,180","3,190"
2018-08-31,,"3,190","3,190","3,190"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"3,190","3,190","3,200"
2018-09-04,,"3,200","3,190","3,170"
2018-09-05,,,,
2018-09-06,,"3,160","3,070","3,170"
2018-09-07,,"3,170","3,080","3,100"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"3,100","3,100","3,100"
2018-09-13,,"3,100","3,110","3,100"
2018-09-14,,"3,100","3,100","3,100"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"3,100","3,100","3,100"
2018-09-18,,"3,100","3,100","3,100"
2018-09-19,,"3,100","3,100","3,100"
2018-09-20,,"3,100","3,110","3,110"
2018-09-21,,"3,110","3,100","3,100"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"3,100","3,100","3,100"
2018-09-25,,"3,100","3,080","3,010"
2018-09-26,,"3,010","3,000","3,000"
2018-09-27,,"3,000","3,010","3,000"
2018-09-28,,"3,000","3,000","3,000"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"3,000","3,000","3,000"
2018-10-02,,"3,000","3,000","3,000"
2018-10-03,,"3,000","3,000","2,980"
2018-10-04,,"2,980","3,000","3,000"
2018-10-05,,"3,000","3,000","3,000"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"3,000","2,910","2,990"
2018-10-09,,"2,990","2,910","2,990"
2018-10-10,,"2,990",,
2018-10-11,,,,
2018-10-12,,"2,930","2,980","2,980"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"2,980","2,980","2,980"
2018-10-17,,"2,980","2,920","2,900"
2018-10-18,,"2,900","2,980","2,980"
2018-10-19,,"2,980","2,950","2,970"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"2,970","2,970","2,970"
2018-10-23,,"2,970","2,980","2,980"
2018-10-24,,"2,980","2,980","2,970"
2018-10-25,,"2,970","2,980","2,970"
2018-10-26,,"2,970",,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"2,970","2,900","2,890"
2018-10-30,,"2,890","2,880","2,810"
2018-10-31,,"2,810","2,810","2,810"
2018-11-01,,"2,810","2,810","2,800"
2018-11-02,,"2,800","2,800","2,800"
2018-11-03,,,,
