,ENNAKL,ref,ouverture,cloture
2018-07-12,,"12,190","12,190","12,300"
2018-07-13,,"12,300","12,340","12,300"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"12,300","12,250","12,340"
2018-07-17,,"12,340","12,350","12,250"
2018-07-18,,"12,250","12,250","12,350"
2018-07-19,,"12,350","12,340","12,340"
2018-07-20,,"12,340","12,340","12,340"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"12,340","12,350","12,300"
2018-07-24,,"11,650","11,700","12,000"
2018-07-25,,,,
2018-07-26,,"12,000","12,000","12,000"
2018-07-27,,"12,000","11,900","11,930"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"11,930","11,800","11,700"
2018-07-31,,"11,700","11,950","11,880"
2018-08-01,,"11,880","11,950","11,800"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"11,900","11,800","11,870"
2018-08-07,,"11,870","11,850","11,790"
2018-08-08,,"11,790","11,750","11,780"
2018-08-09,,"11,780","11,700","11,700"
2018-08-10,,"11,700","11,700","11,700"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"11,700","11,700","11,700"
2018-08-15,,"11,700","11,700","11,750"
2018-08-16,,"11,750","11,750","11,780"
2018-08-17,,"11,780","11,780","11,780"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"11,780","11,750","11,780"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"11,780","11,740","11,720"
2018-08-24,,"11,720","11,720","11,720"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"11,720","11,710","11,700"
2018-08-28,,"11,700","11,700","11,700"
2018-08-29,,"11,700","11,720","11,500"
2018-08-30,,"11,500","11,500","11,720"
2018-08-31,,"11,720","11,720","11,700"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"11,700","11,600","11,680"
2018-09-04,,"11,680","11,680","11,680"
2018-09-05,,,,
2018-09-06,,"11,500","11,500","11,400"
2018-09-07,,"11,400","11,700","11,500"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"11,690","11,400","11,600"
2018-09-13,,"11,600","11,590","11,590"
2018-09-14,,"11,590","11,590","11,550"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"11,550","11,700","11,550"
2018-09-18,,"11,550","11,550","11,550"
2018-09-19,,"11,550","11,550","11,520"
2018-09-20,,"11,520","11,550","11,520"
2018-09-21,,"11,520","11,500","11,500"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"11,500","11,450","11,500"
2018-09-25,,"11,500","11,500","11,450"
2018-09-26,,"11,450","11,440","11,420"
2018-09-27,,"11,420","11,440","11,350"
2018-09-28,,"11,350","11,400","11,400"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"11,400","11,400","11,400"
2018-10-02,,"11,400","11,380","11,400"
2018-10-03,,"11,400","11,440","11,400"
2018-10-04,,"11,400","11,400","11,450"
2018-10-05,,"11,450","11,400","11,450"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"11,450","11,440","11,400"
2018-10-09,,"11,400","11,350","11,400"
2018-10-10,,"11,400","11,400","11,440"
2018-10-11,,,,
2018-10-12,,"11,440","11,440","11,450"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"11,450","11,400","11,500"
2018-10-17,,"11,500","11,500","11,500"
2018-10-18,,"11,500","11,500","11,500"
2018-10-19,,"11,500","11,490","11,500"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"11,500","11,500","11,500"
2018-10-23,,"11,500","11,500","11,500"
2018-10-24,,"11,500","11,500","11,500"
2018-10-25,,"11,500","11,500","11,500"
2018-10-26,,"11,500","11,500","11,500"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"11,500","11,500","11,800"
2018-10-30,,"11,800","11,890","12,000"
2018-10-31,,"12,000","11,500","11,650"
2018-11-01,,"11,650","11,600","11,600"
2018-11-02,,"11,600","11,400","11,600"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"11,600","11,400","11,600"
2018-11-06,,"11,600","11,650","11,650"
2018-11-07,,"11,650","11,650","11,500"
2018-11-08,,"11,500","11,650","11,500"
2018-11-09,,"11,500","11,500","11,500"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"11,500","11,500","11,500"
2018-11-13,,"11,500","11,500","11,500"
2018-11-14,,"11,500","11,500","11,500"
2018-11-15,,"11,500","11,400","11,500"
2018-11-16,,"11,500","11,500","11,500"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"11,500","11,500","11,500"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"11,500","11,500","11,400"
2018-11-23,,"11,400","11,400","11,400"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"11,400","11,400","11,500"
2018-11-27,,"11,500","11,500","11,500"
2018-11-28,,"11,500","11,500","11,490"
2018-11-29,,"11,490","11,490","11,500"
2018-11-30,,"11,500","11,500","11,750"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"11,750","11,800","11,790"
2018-12-04,,"11,790","11,790","11,780"
2018-12-05,,"11,780","11,760","11,760"
2018-12-06,,"11,760","11,770","11,770"
2018-12-07,,"11,770","11,990","12,000"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"12,000","12,000","11,800"
2018-12-11,,"11,800","12,010","11,900"
2018-12-12,,"11,900","11,900","12,200"
2018-12-13,,"12,200","12,000","12,140"
2018-12-14,,"12,140","12,150","12,100"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"12,100","12,200","12,080"
2018-12-18,,,,
2018-12-19,,"12,000","12,000","12,000"
2018-12-20,,"12,000","12,000","12,000"
2018-12-21,,"12,000","12,000","12,000"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"12,000","12,000","12,000"
2018-12-25,,"12,000","12,000","12,250"
2018-12-26,,"12,250","12,350","12,300"
2018-12-27,,"12,300","12,250","12,200"
2018-12-28,,"12,200","12,200","12,200"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"12,200","12,170","12,150"
2019-01-01,,,,
2019-01-02,,"12,150","12,150","12,140"
2019-01-03,,"12,140","12,000","12,120"
2019-01-04,,"12,120","12,120","12,100"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"12,100","12,100","12,000"
2019-01-08,,"12,000","11,980","12,000"
2019-01-09,,,,
2019-01-10,,"11,980","11,970","11,960"
2019-01-11,,"11,960","11,960","11,970"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"11,970","11,970","11,970"
2019-01-16,,"11,970","11,970","11,970"
2019-01-17,,"11,970","11,950","11,990"
2019-01-18,,"11,990","11,990","11,990"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"11,990","11,980","11,980"
2019-01-22,,"11,980","11,980","11,980"
2019-01-23,,"11,980","11,980","11,980"
2019-01-24,,"11,980","11,980","11,900"
2019-01-25,,"11,900","11,970","11,970"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"11,970","11,900","11,980"
2019-01-29,,"11,980","11,970","11,980"
2019-01-30,,"11,980","11,900","11,990"
2019-01-31,,"11,990","11,990","11,990"
2019-02-01,,"11,990","11,950","11,990"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"11,990","11,990","11,990"
2019-02-05,,"11,990","11,990","11,990"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"11,990","11,980","11,990"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"11,990","11,700","11,980"
2019-02-14,,"11,980","11,980","11,980"
2019-02-15,,"11,980","11,980","11,980"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"11,980","11,920","11,900"
2019-02-19,,"11,900","11,900","11,800"
2019-02-20,,"11,800","11,800","11,900"
2019-02-21,,"11,900","11,900","11,900"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"11,900","11,900","11,900"
2019-02-26,,"11,900","11,890","11,890"
2019-02-27,,"11,890","11,890","11,890"
2019-02-28,,"11,890","11,890","11,890"
2019-03-01,,"11,890","11,950","11,980"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"11,980","11,980","11,950"
2019-03-05,,"11,950","11,980","11,950"
2019-03-06,,"11,950","11,950","11,990"
