,ESSOUKNA,ref,ouverture,cloture
2018-07-19,,"3,210","3,280","3,200"
2018-07-20,,"3,200","3,270","3,270"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"3,270","3,180","3,240"
2018-07-24,,"3,240","3,150","3,230"
2018-07-25,,,,
2018-07-26,,"3,230","3,180","3,220"
2018-07-27,,"3,220","3,130","3,130"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"3,130","3,190","3,080"
2018-07-31,,"3,080","3,130","3,130"
2018-08-01,,"3,130","3,040","3,100"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"3,010","2,980","2,990"
2018-08-07,,"2,990","2,900","2,990"
2018-08-08,,"2,990","2,910","3,000"
2018-08-09,,"3,000","2,910","3,000"
2018-08-10,,"3,000",,
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"3,000","2,910","2,990"
2018-08-15,,"2,990","2,910","2,990"
2018-08-16,,"2,990",,
2018-08-17,,"2,990","2,910","2,990"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"2,990",,
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"2,990",,
2018-08-24,,"2,990","2,880","2,950"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"2,950","2,980","2,980"
2018-08-28,,"2,980",,
2018-08-29,,"2,980",,
2018-08-30,,"2,980","2,900","2,900"
2018-08-31,,"2,900","2,970","2,970"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"2,970","2,840","2,970"
2018-09-04,,"2,970",,
2018-09-05,,,,
2018-09-06,,"2,900","2,820","2,740"
2018-09-07,,"2,740","2,820","2,740"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"2,740","2,820","2,740"
2018-09-13,,"2,740","2,710","2,700"
2018-09-14,,"2,700","2,700","2,700"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"2,700","2,620","2,620"
2018-09-18,,"2,620","2,570","2,500"
2018-09-19,,"2,500","2,560","2,560"
2018-09-20,,"2,560","2,560","2,580"
2018-09-21,,"2,580","2,560","2,580"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"2,580","2,570","2,580"
2018-09-25,,"2,580","2,580","2,580"
2018-09-26,,"2,580","2,570","2,640"
2018-09-27,,"2,640","2,640","2,640"
