,TPR,ref,ouverture,cloture
2018-07-12,,"4,980","5,120","5,150"
2018-07-13,,"5,150","5,130","5,170"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"5,170","5,130","5,120"
2018-07-17,,"5,120","5,120","5,100"
2018-07-18,,"5,100","5,120","5,220"
2018-07-19,,"5,220","5,230","5,170"
2018-07-20,,"5,170","5,100","5,170"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"5,170","5,170","5,170"
2018-07-24,,"5,170","5,150","5,150"
2018-07-25,,,,
2018-07-26,,"5,150","5,090","5,150"
2018-07-27,,"5,150","5,140","5,150"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"5,150","5,070","5,160"
2018-07-31,,"5,160","5,150","5,130"
2018-08-01,,"5,130","5,130","5,120"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"5,100","5,100","5,050"
2018-08-07,,"5,050","5,040","5,050"
2018-08-08,,"5,050","5,050","5,050"
2018-08-09,,"5,050","5,050","5,050"
2018-08-10,,"5,050","5,050","5,030"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"5,030","5,040","5,040"
2018-08-15,,"5,040","5,040","5,030"
2018-08-16,,"5,030","5,030","5,030"
2018-08-17,,"5,030","5,030","5,040"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"5,040","5,040","5,040"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"5,040","5,000","5,030"
2018-08-24,,"5,030","5,040","5,050"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"5,050","5,040","5,010"
2018-08-28,,"5,010","5,010","5,100"
2018-08-29,,"5,100","5,100","5,100"
2018-08-30,,"5,100","5,100","5,050"
2018-08-31,,"5,050","5,050","5,100"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"5,100","5,010","5,100"
2018-09-04,,"5,100","5,000","5,070"
2018-09-05,,,,
2018-09-06,,"5,000","4,900","5,000"
2018-09-07,,"5,000","4,910","5,000"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"5,000","4,920","5,000"
2018-09-13,,"5,000","5,010","4,980"
2018-09-14,,"4,980","4,910","4,900"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"4,900","4,900","4,900"
2018-09-18,,"4,900","4,950","4,940"
2018-09-19,,"4,940","4,940","4,900"
2018-09-20,,"4,900","4,810","4,950"
2018-09-21,,"4,950","4,950","4,990"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"4,990","5,000","4,990"
2018-09-25,,"4,990","4,860","4,850"
2018-09-26,,"4,850","4,950","4,900"
2018-09-27,,"4,900","4,950","4,950"
2018-09-28,,"4,950","4,950","4,950"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"4,950","4,960","4,960"
2018-10-02,,"4,960","4,950","4,960"
2018-10-03,,"4,960","4,960","4,900"
2018-10-04,,"4,900","4,900","4,930"
2018-10-05,,"4,930","4,930","4,930"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"4,930","4,880","4,900"
2018-10-09,,"4,900","4,900","4,890"
2018-10-10,,"4,890","4,870","4,890"
2018-10-11,,,,
2018-10-12,,"4,860","4,860","4,830"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"4,830","4,870","4,870"
2018-10-17,,"4,870","4,970","4,890"
2018-10-18,,"4,890","4,930","4,890"
2018-10-19,,"4,890","4,890","4,890"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"4,890","4,900","4,910"
2018-10-23,,"4,910","4,920","4,900"
2018-10-24,,"4,900","4,850","4,850"
2018-10-25,,"4,850","4,880","4,920"
2018-10-26,,"4,920","4,920","4,970"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"4,970","4,960","4,940"
2018-10-30,,"4,940","4,950","4,950"
2018-10-31,,"4,950","4,950","4,900"
2018-11-01,,"4,900","4,930","4,910"
2018-11-02,,"4,910","4,880","4,890"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"4,890","4,900","4,860"
2018-11-06,,"4,860","4,890","4,890"
2018-11-07,,"4,890","4,890","4,890"
2018-11-08,,"4,890","4,880","4,890"
2018-11-09,,"4,890","4,890","4,900"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"4,900","4,880","4,890"
2018-11-13,,"4,890","4,800","4,890"
2018-11-14,,"4,890","4,800","4,870"
2018-11-15,,"4,870","4,870","4,860"
