,Delice,ref,ouverture,cloture
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"17,980",,
2018-07-17,,"17,980","17,900","17,900"
2018-07-18,,"17,900","17,500","17,900"
2018-07-19,,"17,900","17,900","17,900"
2018-07-20,,"17,900",,
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"17,900","17,500","17,880"
2018-07-24,,"17,880","17,400","17,900"
2018-07-25,,,,
2018-07-26,,"17,900","17,600","17,850"
2018-07-27,,"17,850","17,830","17,600"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"17,600","17,320","17,850"
2018-07-31,,"17,850","17,850","17,860"
2018-08-01,,"17,860","17,990","17,870"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"17,700","17,800","17,800"
2018-08-07,,"17,800",,
2018-08-08,,"17,800","17,800","17,800"
2018-08-09,,"17,800","17,320","17,800"
2018-08-10,,"17,800","17,320","17,400"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"17,400","17,450","17,400"
2018-08-15,,"17,400","17,320","17,320"
2018-08-16,,"17,320","17,330","17,330"
2018-08-17,,"17,330","17,330","17,330"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"17,330","17,800","17,800"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"17,800","17,800","17,320"
2018-08-24,,"17,320","17,800","17,800"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"17,800","17,800","17,800"
2018-08-28,,"17,800",,
2018-08-29,,"17,800","17,800","17,800"
2018-08-30,,"17,800","17,900","17,900"
2018-08-31,,"17,900","17,410","17,800"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"17,800","17,400","17,400"
2018-09-04,,"17,400","17,840","17,840"
2018-09-05,,,,
2018-09-06,,"17,400","17,400","17,320"
2018-09-07,,"17,320","16,700","17,600"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"17,600","17,500","17,490"
2018-09-13,,"17,490","17,490","17,490"
2018-09-14,,"17,490","17,400","17,300"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"17,300","17,310","17,300"
2018-09-18,,"17,300","17,470","17,000"
2018-09-19,,"17,000","17,000","16,500"
2018-09-20,,"16,500","16,990","16,250"
2018-09-21,,"16,250",,
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"16,250","16,730","16,730"
2018-09-25,,"16,730","17,000","16,990"
2018-09-26,,"16,990",,
2018-09-27,,"16,990",,
2018-09-28,,"16,990","16,500","16,500"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"16,500",,
2018-10-02,,"16,500","16,010","16,000"
2018-10-03,,"16,000","15,520","15,500"
2018-10-04,,"15,500","15,300","15,950"
2018-10-05,,"15,950","15,830","15,820"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"15,820","15,500","15,110"
2018-10-09,,"15,110","15,110","14,700"
2018-10-10,,"14,700",,
2018-10-11,,,,
2018-10-12,,"15,000","15,090","15,110"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"15,110",,
2018-10-17,,"15,110","15,300","15,110"
2018-10-18,,"15,110","15,110","15,110"
2018-10-19,,"15,110","15,280","15,290"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"15,290","15,700","15,700"
2018-10-23,,"15,700","15,610","15,600"
2018-10-24,,"15,600",,
2018-10-25,,"15,600",,
2018-10-26,,"15,600",,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"15,600",,
2018-10-30,,"15,600",,
2018-10-31,,"15,600",,
2018-11-01,,"15,600","15,140","15,900"
2018-11-02,,"15,900",,
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"15,900","15,500","15,500"
2018-11-06,,"15,500","15,430","15,200"
2018-11-07,,"15,200","14,800","14,750"
2018-11-08,,"14,750","14,750","14,650"
2018-11-09,,"14,650","14,650","14,200"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"14,200","14,500","14,500"
2018-11-13,,"14,500","14,660","14,250"
2018-11-14,,"14,250","14,240","14,240"
2018-11-15,,"14,240","14,200","14,200"
2018-11-16,,"14,200","14,180","14,430"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"14,430","14,420","14,420"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"14,490","14,490","14,470"
2018-11-23,,"14,470","14,450","14,390"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"14,390","13,960","14,290"
2018-11-27,,"14,290","14,310","14,310"
2018-11-28,,"14,310","14,250","14,250"
2018-11-29,,"14,250","14,300","14,190"
2018-11-30,,"14,190","14,300","13,790"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"13,790","13,770","13,750"
2018-12-04,,"13,750","14,080","13,720"
2018-12-05,,"13,720","13,700","13,450"
2018-12-06,,"13,450","13,700","13,450"
2018-12-07,,"13,450","13,450","14,000"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"14,000","14,070","13,790"
2018-12-11,,"13,790","14,000","13,580"
2018-12-12,,"13,580","13,580","13,500"
2018-12-13,,"13,500","13,890","13,500"
2018-12-14,,"13,500","14,000","13,990"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"13,990","14,400","13,990"
2018-12-18,,,,
2018-12-19,,"13,540","12,960","12,940"
2018-12-20,,"12,940","13,520","13,290"
2018-12-21,,"13,290","13,780","13,200"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"13,200","13,590","13,590"
2018-12-25,,"13,590","13,590","13,200"
2018-12-26,,"13,200","13,000","13,000"
2018-12-27,,"13,390","13,790","13,770"
2018-12-28,,"13,770","13,770","13,700"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"13,700","13,970","13,560"
2019-01-01,,,,
2019-01-02,,"13,560",,
2019-01-03,,"13,560","13,160","13,160"
2019-01-04,,"13,160","13,500","13,160"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"13,160","13,010","12,800"
2019-01-08,,"12,800","12,780","12,780"
2019-01-09,,,,
2019-01-10,,"12,790","13,150","12,780"
2019-01-11,,"12,780","13,350","13,250"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"13,250","13,250","12,860"
2019-01-16,,"12,860","12,860","13,240"
2019-01-17,,"13,240","13,240","13,240"
2019-01-18,,"13,240","13,230","13,000"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"13,000",,
2019-01-22,,"13,000","13,290","13,000"
2019-01-23,,"13,000","13,300","13,000"
2019-01-24,,"13,000","12,820","12,810"
2019-01-25,,"12,810","12,810","12,780"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"12,780","12,780","12,780"
2019-01-29,,"12,780","12,770","12,400"
2019-01-30,,"12,400","12,400","12,400"
2019-01-31,,"12,400",,
2019-02-01,,"12,400","12,410","12,030"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"12,030","12,030","12,000"
2019-02-05,,"12,000","11,990","11,990"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"11,700","11,650","11,650"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"11,400","11,400","11,500"
2019-02-14,,"11,500","11,400","11,400"
2019-02-15,,"11,400","11,400","11,400"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"11,400","11,550","11,400"
2019-02-19,,"11,400","11,400","11,400"
2019-02-20,,"11,400","11,400","11,400"
2019-02-21,,"11,400","11,210","11,200"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"11,200","11,050","11,300"
2019-02-26,,"11,300","11,300","11,200"
2019-02-27,,"11,200","11,150","11,100"
2019-02-28,,"11,100","11,050","11,010"
2019-03-01,,"11,010","11,340","11,000"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"11,000","11,000","11,000"
2019-03-05,,"11,000",,
2019-03-06,,"11,000","11,300","11,290"
2019-03-07,,"11,290","11,000","11,000"
2019-03-08,,"11,000","10,930","11,000"
2019-03-09,,,,
2019-03-10,,,,
